1_name_lt;刺骨冰霜
112105_fluff;他能隨心所欲地隱身，用目光讓獵物沉睡，吸飽鮮血後更能化為蝙蝠，遠走高飛。真是太厲害了。
112105_name;雷吉斯：高等吸血鬼
112105_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：<keyword=drain>汲取</keyword>某張敵軍的所有提升戰力值。
112106_fluff;我能照顧自己，相信我。
112106_name;特莉絲．梅莉葛德
112106_tooltip;<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：隨機<keyword=reveal>揭示</keyword>我方牌組中 1 張單位牌，並以該牌戰力對 1 張敵軍造成傷害。
112107_fluff;他還自稱「三寒鴉」博爾克……他不太會取名字。
112107_name;維蘭特雷坦梅斯
112107_tooltip;{Counter} 回合後，回合結束時，摧毀場上除了自身以外的最大單位牌。
112108_fluff;魔法是混沌，是藝術，也是科學。是詛咒，是庇佑，更是進步。
112108_name;范格堡的葉奈法
112108_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：對其他所有單位牌造成 {Damage} 點傷害。\n<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：提升其他所有單位牌 {Boost} 點戰力。
112109_fluff;抱歉，我這寵物是隻異國鳥，聰明絕頂，就是有點下流，花了我10個塔勒呢。
112109_name;卓爾坦：無賴
112109_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：<keyword=spawn>生成</keyword>並打出「杜達：搗蛋鬼」。\n<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：<keyword=spawn>生成</keyword>並打出「杜達：夥伴」。
112110_fluff;你知道童話何時成真嗎？大家都開始相信的時候。
112110_name;希里：衝刺
112110_tooltip;{Counter} 回合後，回合開始時，抽取 1 張卡牌。
112111_fluff;這股強大的力量能摧毀一切擋道之物。如果你忘了帶鑰匙，這招最管用。
112111_name;傑洛特：阿爾德法印
112111_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：對 {Maxtargets} 張敵軍造成 {Damage} 點傷害，而且如果可能的話，將這些牌移至「遠程列」。
112112_fluff;無拘無束的精靈之中，有少數被稱為艾恩．薩瓦赫尼，也就是所謂的賢者。賢者是既謎樣又如傳說般的存在。
112112_name;阿瓦拉克：賢者
112112_tooltip;<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：從我方牌組打出 1 張「文物」。
112113_fluff;一位優秀的女術士必須知道何時該施展冰，何時該施展火。
112113_name;葉奈法：咒術師
112113_tooltip;<keyword=order>軍令</keyword>：對敵軍最大的單位牌造成 {Damage} 點傷害。\n<keyword=cooldown>冷卻</keyword>：{Cooldown} 回合。
112201_fluff;變形怪有很多別名：換生靈、二重身、討嫌鬼……或模仿怪。
112201_name;杜度
112201_tooltip;<keyword=deploy>部署</keyword>：變身成 1 張敵軍單位牌的基礎同名牌。
112202_fluff;白狼，我只是個狩魔獵人。我不獵龍，不跟國王稱兄道弟，也不和女術士上床……
112202_name;艾斯凱爾
112202_tooltip;<keyword=deploy>部署</keyword>：從我方牌組<keyword=summon>召喚</keyword>「維瑟米爾」和「蘭伯特」至此列。
112203_fluff;就算上了絞刑台也別放棄，跟他們要點水。畢竟沒人知道水拿來前會發生什麼。
112203_name;維瑟米爾
112203_tooltip;<keyword=deploy>部署</keyword>：從我方牌組<keyword=summon>召喚</keyword>「艾斯凱爾」和「蘭伯特」至此列。
112204_fluff;這樣的溝通方式我才懂嘛！
112204_name;蘭伯特
112204_tooltip;<keyword=deploy>部署</keyword>：從我方牌組<keyword=summon>召喚</keyword>「艾斯凱爾」和「維瑟米爾」至此列。
112205_fluff;千萬別想分開母龍和她的孩子。
112205_name;麥爾卓布拉克
112205_tooltip;<keyword=order>軍令</keyword>：對 1 張敵軍造成 {Damage} 點傷害。\n<keyword=charge>裝填</keyword>：{Charges} 次。
112206_fluff;牠是石英山之主，摧毀者，圖拉真的屠夫。閒暇時，牠喜歡遠足與燭光晚餐。
112206_name;奧克維斯特
112206_tooltip;<keyword=order>軍令</keyword>：對所有敵軍造成 {Damage} 點傷害。
112207_fluff;至少你知道我的頭不好砍了。
112207_name;歐吉爾德．伊佛瑞克
112207_tooltip;<keyword=order>軍令</keyword>：<keyword=heal>治療</keyword>自身。\n<keyword=cooldown>冷卻</keyword>：{Cooldown} 回合。
112208_fluff;時空在我們面前瓦解，也在我們身後膨脹，這就是穿越。
112208_name;領航員
112208_tooltip;<keyword=deploy>部署</keyword>：從我方手牌<keyword=spawn>生成</keyword> 1 張「銅色」單位牌的基礎同名牌並<keyword=summon>召喚</keyword>至雙方此列。
112209_fluff;哞～
112209_name;得獎乳牛
112209_tooltip;<keyword=order>軍令</keyword>：變身為「讎特怪」。
112210_fluff;傑洛特，我們得來個人與馬的對話。沒別的意思，但你騎馬的技術——還真的有待加強呀，夥伴。
112210_name;蘿蔔
112210_tooltip;每當我方打出 1 張「金色」牌，便從我方牌組<keyword=summon>召喚</keyword>此單位牌至隨機我方列。
112211_fluff;要是再也沒有辦法體會說出「四十四隻石獅子」的樂趣，人生就真的太無趣啦。
112211_name;強尼
112211_tooltip;<keyword=order>軍令</keyword>：對 1 張單位牌造成 {Damage} 點傷害。\n<keyword=charge>裝填</keyword>：{Charges} 次。\n每當我方打出 1 張「特殊」牌就獲得<keyword=charge>裝填</keyword> {Charges2} 次。
112212_fluff;來陪小莎拉玩遊戲吧！
112212_name;莎拉
112212_tooltip;<keyword=order>軍令</keyword>：提升 1 張單位牌 {Boost} 點戰力。\n<keyword=charge>裝填</keyword>：{Charges} 次。\n每當我方打出 1 張「特殊」牌就獲得<keyword=charge>裝填</keyword> {Charges2} 次。
112213_fluff;我很可能會少對耳朵……或雙手。畢竟這兩種付款方式乞丐王都接受。
112213_name;乞丐王
112213_tooltip;每回合結束時，提升我方手牌中最小的單位牌 {Boost} 點戰力。
112214_fluff;本城四大黑幫頭目之一。另外三個是西吉．盧文、卡羅．「屠夫」．凡瑞西和乞丐王。
112214_name;賽浦利安・威利
112214_tooltip;<keyword=deploy>部署</keyword>：<keyword=banish>驅逐</keyword> 1 張戰力為 {Power} 點以下的單位牌。
112215_fluff;我的回憶所剩無幾……但只要想起我的玫瑰，記憶便會湧現。
112215_name;愛麗絲・伊佛瑞克
112215_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：摧毀 1 張敵軍「文物」牌。\n<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：清除我方場上所有全列效果。
112401_fluff;據說獨角獸喜歡處女。但如今，處女跟獨角獸一樣稀有，這理論也就難以證實了。
112401_name;獨角獸
112401_tooltip;<keyword=deploy>部署</keyword>：提升 1 張單位牌 {Boost} 點戰力。若我方手牌中有「夢魘獨角獸」，則提升值加倍。
112402_fluff;「天呐，那根本不是獨角獸！那是……」——著名奇珍收藏家崴爾瑪的遺言。
112402_name;夢魘獨角獸
112402_tooltip;<keyword=deploy>部署</keyword>：對 1 張單位牌造成 {Damage} 點傷害。若我方手牌中有「獨角獸」，則傷害值加倍。
112403_fluff;牠會說一百個詞，其中八十個是髒話，剩下的是語助詞。
112403_name;杜達：夥伴
112403_tooltip;提升某列所有單位牌 {Boost} 點戰力。
112404_fluff;卓爾坦的鸚鵡擁有一項超凡能力：能逼瘋所有與牠相處的人，包括卓爾坦本人。
112404_name;杜達：搗蛋鬼
112404_tooltip;對某列所有單位牌造成 {Damage} 點傷害。
112405_fluff;惡魔長得有點像鹿，一隻又大又邪惡的鹿。
112405_name;惡魔
112405_tooltip;<keyword=deploy>部署</keyword>：提升我方手牌中所有<keyword=deathwish>求死</keyword>的單位牌 {Boost} 點戰力。
113101_fluff;終焉紀元到來時，漢姆多爾將挺身而出，迎擊來自摩霍格的邪惡軍團——由混沌而生的妖靈、魔鬼和惡靈。
113101_name;終末之戰
113101_tooltip;施加此全列效果至敵方單列：\n每回合開始時，對此列最大的單位牌造成 {Damage} 點傷害。
113102_fluff;親愛的先生們，迪精只能幫人實現三個願望。之後它們將重獲自由，逃往未知界域。
113102_name;最後的願望
113102_tooltip;查看我方牌組最上方的 {Maxtargets} 張卡牌。打出 1 張，並<keyword=banish>驅逐</keyword>剩餘卡牌。
113201_fluff;如果老百姓用完了，假人也是不錯的擋箭牌。
113201_name;誘餌
113201_tooltip;將場上 1 張我軍放入我方牌組洗牌，並打出我方牌組最上方的單位牌。
113202_fluff;一瞬間，昏天暗地，黑雲壓城。詭譎黑暗之中，一陣寒風呼嘯而過。「天哪，」葉奈法吸了口氣，「看來我們要大鬧一場了。」
113202_name;梅莉葛德雹暴術
113202_tooltip;對 {Maxtargets} 張敵軍造成 {Damage} 傷害。
113203_fluff;這可不是普通風暴，這是天神之怒。
113203_name;史凱利傑風暴
113203_tooltip;施加此全列效果至敵方單列：\n{Counter} 回合內，回合開始時，對此列所有單位牌造成 {Damage} 點傷害。
113204_fluff;術士史丹麥福特曾將一座擋住他塔樓風景的大山移走。傳言他有這等移山之力，全因為俘獲了一隻地靈，也就是土元素。
113204_name;史丹麥福特山崩術
113204_tooltip;對所有敵軍造成 {Damage} 傷害。
113205_fluff;女巫獵人必備。無聲的閃光過後，再強大的術士也是俎上鱼肉。
113205_name;反魔法金屬炸彈
113205_tooltip;摧毀 1 張「文物」。
113206_fluff;見證「泰德戴爾瑞」——終焉紀元——這被白霜摧毀的世界吧！
113206_name;白霜
113206_tooltip;摧毀所有「文物」。
113207_fluff;士氣加一分，但聽力也得減一分。
113207_name;領導號角
113207_tooltip;提升 {MaxTargets} 張相鄰單位牌 {Boost} 點戰力。
113208_fluff;控天者德魯伊能操控各種元素，讓狂風暴雨瞬間風平浪靜，降下毀天滅地的冰雹，還能召喚雷暴讓敵軍灰飛煙滅……所以我給你個忠告：面對他，一定要畢恭畢敬。
113208_name;德魯伊控天者
113208_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：場上所有全列效果的時效都加 {Counter}。\n<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：所有全列效果的時效都減 {Counter2}。
113209_fluff;阿爾祖創造的一些怪物仍在四處遊蕩，令人膽寒的巨蜈蚣便是其一——它殘殺了創造自己的法師，摧毀了半個馬里波，然後逃進了瑞弗戴爾的幽暗森林。
113209_name;阿爾祖雙十字召喚術
113209_tooltip;從我方牌組打出最大的單位牌。
113301_fluff;我們完全無法念誦「阿爾祖落雷術」這樣深奧複雜的咒語。據說，阿爾祖聲如狩獵號角，言若黃鐘大呂。
113301_name;阿爾祖落雷術
113301_tooltip;對 1 張單位牌造成 {Damage} 點傷害。
113302_fluff;寒霜凜冽的好處就是屍體不會腐爛得那麼快。
113302_name;刺骨冰霜
113302_tooltip;施加此全列效果至敵方單列：\n{Counter} 回合內，回合開始時，對此列最小的單位牌造成 {Damage} 點傷害。
113303_fluff;太陽出來了，德洛米！太陽出來了！也許我們命不該絕……
113303_name;晴空
113303_tooltip;清除我方場上所有全列效果。
113305_fluff;優秀指揮官的福音……拙劣指揮官的噩夢。
113305_name;濃霧
113305_tooltip;施加此全列效果至敵方單列：\n{Counter} 回合內，回合開始時，對此列最大的單位牌造成 {Damage} 點傷害。
113306_fluff;劇毒致命的速度快得讓你連尼弗迦德大帝的頭銜都唸不完。
113306_name;飛獅怪毒液
113306_tooltip;對 {MaxTargets} 張敵軍造成 {Damage} 傷害。
113307_fluff;那野獸狂暴地撲來，眼中怒火熊熊，全然不顧疼痛和抵抗者的死命反擊。逆者，唯有一死……
113307_name;腎上腺素狂飆
113307_tooltip;賦予或移除 1 張單位牌的<keyword=resilient>堅毅</keyword>。
113308_fluff;瘟疫不仁，以萬物為芻狗。
113308_name;瘟疫
113308_tooltip;摧毀最小的單位牌。
113309_fluff;傑洛特退了一步。他見過不少中了燒灼的人。更精確地來說，他見過不少被擊中的人留下的殘骸。
113309_name;燒灼
113309_tooltip;摧毀最大的單位牌。
113310_fluff;這種藥水能加速傷口的結痂和痊癒，而它之所以叫做「燕子」，是因為燕子象徵春天與生機。
113310_name;燕子
113310_tooltip;提升 1 張單位牌 {Boost} 點戰力。
113311_fluff;狩魔獵人臉色驟變……已然非人，令人怵目驚心。
113311_name;雷霆
113311_tooltip;<keyword=zeal>熱忱</keyword>。\n<keyword=order>軍令</keyword>：提升 1 張單位牌 {Boost} 點戰力。\n<keyword=charge>裝填</keyword>：{Charges} 次。
113312_fluff;這裡連雨都帶股尿騷味。
113312_name;暴雨
113312_tooltip;施加此全列效果至敵方單列：\n{Counter} 回合內，回合開始時，隨機對列上 {MaxTargets} 張單位牌造成 {Damage} 點傷害。
113313_fluff;史凱利傑的人不論男女老少，個個都能拿斧頭把敵人砍成兩半。只有少數萬中選一的人，能靠一聲滿懷怒意的戰吼就將敵人的耳朵撕成兩半。
113313_name;奎特戰吼士
113313_tooltip;<keyword=deploy>部署</keyword>：提升自身戰力，提升值等同 1 張敵軍受到的傷害值。
113315_fluff;當你凝視深淵，深淵也在凝視著你。
113315_name;貝克的闇鏡
113315_tooltip;選擇 1 張單位牌。若該牌已獲得提升，則對其造成提升值的兩倍傷害。若該牌已負傷，則以傷害值兩倍提升其戰力。
113316_fluff;醫學之奇跡，魔法之神力。
113316_name;新生
113316_tooltip;從我方墓地打出 1 張單位牌。
113319_fluff;泰拉諾瓦的雙手被扭到背後。瑞達尼亞人用力晃了晃鐐銬，他哭喊出聲，踉踉蹌蹌地前後搖擺，隨後一陣乾嘔，不斷呻吟——他這才驚覺鐐銬的材質。
113319_name;反魔法金屬鐐銬
113319_tooltip;<keyword=lock>封印</keyword> 1 張單位牌，並對其造成 {Damage} 點傷害。
113320_fluff;吃夠量，世界就會變個樣……
113320_name;幻菇
113320_tooltip;對 1 張單位牌造成 {Damage} 點傷害，再提升該牌 {Boost} 點戰力。
122101_fluff;我知道自己不是個好父親，但……現在彌補或許還來得及。
122101_name;血腥男爵
122101_tooltip;<keyword=order>軍令</keyword>：讓 1 張我軍的「裝填」加倍。
122102_fluff;一位愛國人士……也是個令人頭疼的傢伙。
122102_name;弗農・羅契
122102_tooltip;<keyword=spying>臥底</keyword>。\n<keyword=deploy>部署</keyword>：打出我方牌組中最上方的 {MaxTargets} 張卡牌。
122103_fluff;那座廣場應以我的士兵及其他犧牲者來命名，而不是我的名字。
122103_name;約翰．納塔利斯
122103_tooltip;<keyword=melee>近戰</keyword>：只要此單位牌位於場上，則所有具有<keyword=order>軍令</keyword>的我軍單位牌都獲得<keyword=zeal>熱忱</keyword>。
122104_fluff;王族的權勢即將凋零，女術士集會所必將崛起。
122104_name;菲麗芭．艾哈特
122104_tooltip;postponed
122105_fluff;你真以為這種下三濫的謊話能呼嚨我？
122105_name;西吉斯蒙德．迪科斯徹
122105_tooltip;postponed
122106_fluff;我是醫生，不會亂開藥。
122106_name;夏妮
122106_tooltip;<keyword=order>軍令</keyword>：賦予 1 張單位牌<keyword=immune>免疫</keyword>。
122107_fluff;隊長……我們的箭……長……長翅膀了！
122107_name;特莉絲：蝶羽咒
122107_tooltip;<keyword=deploy>部署</keyword>：隨機提升 1 張我方手牌的單位牌 {Boost} 點戰力。
122108_fluff;即便今天會死，我也要死得光鮮亮麗。
122108_name;凱拉・梅茲
122108_tooltip;<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：從我方牌組打出 1 張「咒語」。
122201_fluff;丹德里恩，你憤世嫉俗、風流好色、滿嘴謊話——卻也是我最好的朋友。
122201_name;丹德里恩
122201_tooltip;<keyword=ranged>遠程</keyword>：每當 1 張我軍獲得<keyword=charge>裝填</keyword> 1 次，便提升該牌 {Boost} 點戰力。
122202_fluff;想像一下穿裙子的丹德里恩，大概就是那副模樣。
122202_name;普西拉
122202_tooltip;<keyword=zeal>熱忱</keyword>。\n<keyword=order>軍令</keyword>：賦予 1 張單位牌<keyword=charge>裝填</keyword> {Charges} 次。\n<keyword=cooldown>冷卻</keyword>：{Cooldown} 回合。
122203_fluff;滾！我們不是每個人都那麼下流、那麼膚淺……
122203_name;塔勒
122203_tooltip;<keyword=deploy>部署</keyword>：將 1 張敵軍單位牌的所有<keyword=charge>裝填</keyword>次數移轉給「塔勒」。\n<keyword=order>軍令</keyword>：賦予 1 張我軍單位牌<keyword=charge>裝填</keyword> {Charges2} 次。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122204_fluff;寧似帝王快活一天，強如乞丐苟活一世。
122204_name;薇絲
122204_tooltip;<keyword=deploy>部署</keyword>：對 1 張敵軍造成 {Damage} 點傷害。\n<keyword=order>軍令</keyword>：賦予 1 張我軍<keyword=zeal>熱忱</keyword>。
122205_fluff;女術士集會所缺乏謙遜，對權力的渴望可能會讓我們功虧一簣。
122205_name;席兒．坦沙維耶
122205_tooltip;<keyword=deploy>部署</keyword>：對 1 張敵軍造成 {Damage} 點傷害。\n<keyword=order>軍令</keyword>：對 1 張敵軍造成 {Damage} 點傷害。
122206_fluff;科德溫荒野之女。
122206_name;薩賓娜．葛麗維希格
122206_tooltip;<keyword=spying>臥底</keyword>。\n<keyword=deathwish>求死</keyword>：對此列所有單位牌造成 {Damage} 點傷害。
122207_fluff;我曾讓一個囚犯把腸子都吐出來了……啊，好懷念……
122207_name;戴斯摩
122207_tooltip;<keyword=order>軍令/keyword>、<keyword=ranged>遠程</keyword>：以「戴斯摩」的戰力提升值對 1 張敵軍造成傷害。
122208_fluff;他身穿黃金鎧甲，當然是個混帳。
122208_name;史登尼斯王子
122208_tooltip;<keyword=deploy>部署</keyword>：提升 1 張我軍 {Boost} 點戰力並賦予其<keyword=charge>裝填</keyword> {Charges} 次。
122209_fluff;我是拉多多德國王的兵兵。收到命令，看守船船。
122209_name;巨魔魔
122209_tooltip;postponed
122210_fluff;他們說公主容易動怒，但我沒想到……
122210_name;帕維塔公主
122210_tooltip;<keyword=deploy>部署</keyword>：將我方墓地中 1 張「銅色」單位牌和其所有同名牌放進我方牌組洗牌。
122211_fluff;我只關心亞瑞圖札學院和我的學生們。
122211_name;瑪格麗塔・露克斯安提爾
122211_tooltip;<keyword=zeal>熱忱</keyword>。\n<keyword=order>軍令</keyword>：使用<keyword=charge>裝填</keyword> {Charges} 次來<keyword=lock>封印</keyword> 1 張敵軍單位牌。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122212_fluff;南娜卡的醫術無人能及。
122212_name;南娜卡
122212_tooltip;<keyword=order>軍令</keyword>、<keyword=ranged>遠程</keyword>：提升 1 張單位牌 {Boost} 點戰力。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122213_fluff;喝酒少了歐德林，就像划船沒帶槳。
122213_name;歐德林
122213_tooltip;<keyword=deploy>部署</keyword>：賦予所有我軍單位牌<keyword=charge>裝填</keyword> {Charge} 次。
122214_fluff;給我衝，沒用的蠢貨！衝，不然你就會知道，我比尼弗迦德人更可怕！
122214_name;科德溫中士
122214_tooltip;<keyword=zeal>熱忱</keyword>。\n<keyword=order>軍令</keyword>：提升 1 張我軍 {Boost} 點戰力。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122216_fluff;要在諾維格瑞做生意的人都要做個明擺著的選擇——乖乖聽屠夫的話，不然就跟自己的膝蓋說再見吧。
122216_name;屠夫
122216_tooltip;<keyword=deploy>部署</keyword>：只要我方手牌有 1 張卡牌，就對 1 張單位牌造成 {Damage} 點傷害。
122301_fluff;成為弩炮是所有十字弓的終極夢想。
122301_name;床弩
122301_tooltip;<keyword=order>軍令</keyword>：對 1 張單位牌造成 {Damage} 點傷害。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122302_fluff;從未命中同一處兩次，仔細想想，可能是個大問題。
122302_name;加強型床弩
122302_tooltip;<keyword=order>軍令</keyword>：對 1 張單位牌造成 {Damage} 點傷害。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122303_fluff;城堡可不會自己垮下來，快去準備拋石機！
122303_name;拋石機
122303_tooltip;<keyword=order>軍令</keyword>、<keyword=ranged>遠程</keyword>：對 1 張單位牌造成 {Damage} 點傷害。若該牌被摧毀，則對相鄰該牌的單位牌造成 {Damage} 點傷害。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122304_fluff;攻城用的最新武器。
122304_name;攻城塔
122304_tooltip;<keyword=order>軍令</keyword>、<keyword=melee>近戰</keyword>：提升相鄰我軍 {Boost} 點戰力。\n<keyword=charge>裝填</keyword>：{Charges} 次。
122306_fluff;看見這刺青沒？紋的是我在痛扁一條龍。一條龍喔，女士。
122306_name;掠奪者獵人
122306_tooltip;postponed
122307_fluff;最近沒怪物可殺，所以我們從軍了。
122307_name;掠奪者斥候
122307_tooltip;postponed
122308_fluff;為了榮耀，為了拉多維德陛下！
122308_name;瑞達尼亞騎士
122308_tooltip;postponed
122309_fluff;「你得把準星左校 5 度。」\n「把什麼調多少？」
122309_name;攻城支援
122309_tooltip;<keyword=deploy>部署</keyword>：賦予 1 張「機器」我軍<keyword=charge>裝填</keyword> {Charges} 次。
122310_fluff;藍衣鐵衛與松鼠黨有個共通點：滿懷仇恨。
122310_name;藍衣鐵衛斥候
122310_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：將 1 張「銅色」我軍的同名牌移動至我方牌組最下方。
122311_fluff;我願為泰莫利亞赴湯蹈火，不過大部分是在殺人就是了。
122311_name;藍衣鐵衛突擊隊
122311_tooltip;<keyword=order>軍令</keyword>：從我方牌組<keyword=summon>召喚</keyword> 1 張此單位牌的同名牌至此列。
122312_fluff;紅縫紅，白縫白，萬事都安泰。
122312_name;戰地醫生
122312_tooltip;<keyword=deploy>部署</keyword>：提升相鄰單位牌 {Boost} 點戰力。
122313_fluff;冷靜，所有人保持警惕！這可能是那幫披斗篷戴海狸皮帽的傢伙設下的陷阱……
122313_name;褐旗營
122313_tooltip;<keyword=deploy>部署</keyword>：若打出並與 {MaxTargets} 張「士兵」相鄰，則獲得<keyword=zeal>熱忱</keyword>。\n<keyword=order>軍令</keyword>：對 1 張敵軍造成 {Damage} 點傷害。
122314_fluff;我一直很好奇，這幫傢伙是怎麼解決內急的？
122314_name;科德溫騎兵
122314_tooltip;<keyword=deploy>部署</keyword>、<keyword=melee>近戰</keyword>：移除 1 張敵軍所有<keyword=charge>裝填</keyword>，再以移除次數對該牌造成傷害。
122315_fluff;有感覺嗎？每當這傢伙投出巨石，連大地都會顫抖。
122315_name;加強型拋石機
122315_tooltip;<keyword=ranged>遠程</keyword>。每回合結束時，隨機對 1 張「遠程列」的敵軍造成 {Damage} 點傷害。
122316_fluff;泰莫利亞！泰莫利亞！諸神恩賜汝等！降怒於敵，使其永世災厄！
122316_name;泰莫利亞步兵
122316_tooltip;<keyword=deploy>部署</keyword>：此列只要有 1 張獲得提升的單位牌，便對 1 張敵軍造成 {Damage} 點傷害。
122317_fluff;為了瑞達尼亞，不論殺人、被殺，還是吃蟲子，我都在所不惜。
122317_name;瑞達尼亞精銳
122317_tooltip;postponed
122318_fluff;我絕不會失手兩次。
122318_name;攻城大師
122318_tooltip;每當 1 張「機器」位於此列，就賦予其<keyword=zeal>熱忱</keyword>。
122401_fluff;承認錯誤，妥善安葬，否則他們會回來纏著你不放。
122401_name;屍嬰
122401_tooltip;每回合結束時，對最大的敵軍造成 {Damage} 點傷害。\n<keyword=order>軍令</keyword>：變身成「家事妖精」。
122402_fluff;吾為汝取名蒂雅，收汝為吾女。
122402_name;家事妖精
122402_tooltip;每回合結束時，提升最小的我軍 {Boost} 點戰力。\n<keyword=order>軍令</keyword>：變身成「屍嬰」。
122403_fluff;尼弗迦德的法師隨時可以被取代。要是有一人令大帝失望，還有十幾位法師等著達成大帝的要求。
122403_name;維可瓦洛的新手巫師
122403_tooltip;<keyword=deploy>部署</keyword>、<keyword=ranged>遠程</keyword>：抽取 1 張卡牌，再將我方手牌中 1 張卡牌放到我方牌組最上方。
123201_fluff;吹號撤退！重新整隊！等待增援！
123201_name;增援
123201_tooltip;<keyword=spawn>生成</keyword> 1 張「銅色」我軍單位牌的同名牌再<keyword=summon>召喚</keyword>該牌至此列。
123301_fluff;不為名不為利，高尚的動機才能成就英雄！
123301_name;泰莫利亞志士
123301_tooltip;<keyword=spawn>生成</keyword>
131101_fluff;保留點尊嚴吧，你的下場不是都明擺著了。
131101_name;艾瑞汀．畢雷克．葛拉斯
131101_tooltip;<keyword=order>軍令</keyword>：提升 1 張單位牌 {Boost} 點戰力並賦予<keyword=immune>免疫</keyword>。
131102_fluff;畫作應當傳達情感，而非故事。
131102_name;蓋爾
131102_tooltip;<keyword=ranged>遠程</keyword>：每當我方打出 1 張具有<keyword=deathwish>求死</keyword>的單位牌，就發動其<keyword=deathwish>求死</keyword>能力。
132101_fluff;有些人就是不服輸，就算得爬出墳墓也要繼續奮戰。
132101_name;戰靈
132101_tooltip;<keyword=deploy>部署</keyword>：將所有「人類」我軍變身為「科德溫亡魂」，而且戰力維持不變。
132102_fluff;他總愛吹噓沒有任何武器可以穿刺自己的護甲。他真的沒說錯，而且即便死了也依然沒錯。
132102_name;伊勒瑞斯之怒
132102_tooltip;以我軍最大的戰力值對 1 張敵軍造成傷害。
132103_fluff;即便全村人都餓肚子，我們也絕不去這片樹林打獵。
132103_name;林精
132103_tooltip;<keyword=order>軍令</keyword>：提升我方手牌中 1 張單位牌 {Boost} 點戰力。
132104_fluff;寵兒成逆子。
132104_name;卡蘭希爾．艾芬尼爾
132104_tooltip;<keyword=deploy>部署</keyword>：<keyword=spawn>生成</keyword>我方手牌中 1 張 {power} 點戰力的單位牌的同名牌並<keyword=summon>召喚</keyword>該牌至此列。
132105_fluff;你們人類的品味……很獨特。
132105_name;阿瓦拉克
