1_name_lt;Frio Congelante
112105_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: <keyword=drain>drena</keyword> todos os reforços de um inimigo.
112106_fluff;Posso cuidar de mim mesma. Creia-me.
112106_name;Triss Merigold
112106_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: <keyword=reveal>revela</keyword> uma unidade aleatória do seu baralho e causa dano a um inimigo equivalente ao seu poder.
112107_fluff;Também é conhecido como Borkh Três Gralhas... Ele não é muito bom com nomes.
112107_name;Villentretenmerth
112107_tooltip;Após {Counter} turnos, no fim do turno, destrói a unidade mais alta no campo de batalha, com exceção de si mesma.
112108_fluff;A magia é caos, arte e ciência. É uma maldição, uma bênção e um avanço.
112108_name;Yennefer
112108_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: causa {Damage} a todas as outras unidades. \n<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: reforça todas as outras unidades em {Boost}.
112109_fluff;Perdão. Meu animalzinho exótico é um pássaro inteligente, mas um pouco pervertido. Paguei dez thalers pela belezinha.
112109_name;Zoltan: Patife
112109_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: <keyword=spawn>faz surgir</keyword> Duda: Agitador e o usa.\n<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: <keyword=spawn>faz surgir</keyword> Duda: Companheiro e o usa.
112110_fluff;Sabe quando os contos de fada não são só contos? Quando as pessoas acreditam.
112110_name;Ciri: Investida
112110_tooltip;Após {Counter} turnos, no começo do turno, compra uma carta.
112111_fluff;Uma descarga de energia concentrada que espanca tudo em seu caminho. Ótima para quando você esquece as chaves.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: causa {Damage} de dano a {Maxtargets} inimigos e, se possível, move eles para a fileira de longa distância.
112112_fluff;Dentre os elfos livres havia alguns Aen Saevherne, ou Sábios. Eles eram um enigma, beirando o status de lenda.
112112_name;Avallac'h: Sábio
112112_tooltip;<keyword=deploy>Mobilização</keyword>,<keyword=ranged>Longa distância</keyword>: usa um artefato do seu baralho.
112113_fluff;Uma boa feiticeira deve saber quando conjurar gelo... e quando conjurar fogo.
112113_name;Yennefer: Conjuradora
112113_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano à(s) unidade(s) mais alta(s) do inimigo. \n<keyword=cooldown>Tempo de espera</keyword>: {Cooldown}.
112201_fluff;Um mímico, entre muitos outros nomes para pessoas como ele: metamorfo, dublê, sósia... ou farsante.
112201_name;Dudu
112201_tooltip;<keyword=deploy>Mobilização</keyword>: se transforma em uma cópia básica de uma unidade inimiga.
112202_fluff;Sou um simples bruxo, Lobo. Não mato dragões, não fraternizo com reis e não pego feiticeiras...
112202_name;Eskel
112202_tooltip;<keyword=deploy>Mobilização</keyword>: <keyword=summon>invoca</keyword> Vesemir e Lambert do seu baralho para esta fileira.
112203_fluff;Se for ser enforcado, peça por água. Tudo pode acontecer antes que a tragam.
112203_name;Vesemir
112203_tooltip;<keyword=deploy>Mobilização</keyword>: <keyword=summon>invoca</keyword> Eskel e Lambert do seu baralho para esta fileira.
112204_fluff;Isso sim é o tipo de negociação que eu entendo.
112204_name;Lambert
112204_tooltip;<keyword=deploy>Mobilização</keyword>: <keyword=summon>invoca</keyword> Eskel e Vesemir do seu baralho para esta fileira.
112205_fluff;Nunca separe uma mãe dragão de sua cria.
112205_name;Myrgtabrakke
112205_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano a um inimigo. \n<keyword=charge>Carga</keyword>: {Charges}.
112206_fluff;O mestre do Monte Quartzo, o destruidor, o matador de Trajan. Em seu tempo livre, ele gosta de caminhadas e jantares à luz de velas.
112206_name;Ocvist
112206_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano a todos os inimigos.
112207_fluff;Pelo menos agora sabes que não perco minha cabeça tão facilmente.
112207_name;Olgierd von Everec
112207_tooltip;<keyword=order>Ordem</keyword>: <keyword=heal>cura</keyword> a si mesma.\n<keyword=cooldown>Tempo de espera</keyword>: {Cooldown}.
112208_fluff;Assim como tempo e o espaço se desmancham à nossa frente, eles se ampliam atrás de nós. E assim cada um avança por ambos.
112208_name;Operador
112208_tooltip;<keyword=deploy>Mobilização</keyword>: <keyword=spawn>faz surgir</keyword> e <keyword=summon>invoca</keyword> uma cópia básica de uma unidade de bronze da sua mão para esta fileira em cada lado do jogador.
112209_fluff;Muuuuu.
112209_name;Vaca Premiada
112209_tooltip;<keyword=order>Ordem</keyword>: transforma-se em Chorabash.
112210_fluff;Geralt, precisamos ter uma conversa de homem pra égua. Sem ofensa, mas as suas habilidade de condução deixam a desejar, camarada.
112210_name;Carpeado
112210_tooltip;Sempre que usar uma carta de ouro, <keyword=summon>invoca</keyword> esta unidade do seu baralho para uma fileira aliada aleatória.
112211_fluff;A vida sem saborear o som de "xícara de chá gelado" é como lamber lesmas enroladas em pano.
112211_name;Johnny
112211_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano a uma unidade.\n<keyword=charge>Carga</keyword>: {Charges}.\nGanha {Charges2} de <keyword=charge>carga</keyword> sempre que jogar uma carta especial.
112212_fluff;A pequena Sarah quer brincar!
112212_name;Sarah
112212_tooltip;<keyword=order>Ordem</keyword>: reforça uma unidade em {Boost}.\n<keyword=charge>Carga</keyword>: {Charges}.\nSempre que usar uma carta especial, ganha {Charges2} de <keyword=charge>carga</keyword>.
112213_fluff;Eu posso descobrir o quão lindo eu fico sem orelhas... ou mãos. Aparentemente, o Rei dos Mendigos aceita ambas como pagamentos parciais.
112213_name;Rei dos Mendigos
112213_tooltip;A cada turno, no fim do turno, reforça a unidade mais baixa na sua mão em {Boost}.
112214_fluff;Um dos quatro chefões que controlam o submundo da cidade – os outros são Sigi Reuven, Carlo "Cutelo" Varese e o Rei dos Mendigos.
112214_name;Wily Cipriano
112214_tooltip;<keyword=deploy>Mobilização</keyword>: <keyword=banish>bane</keyword> uma unidade com {Power} de poder ou menos.
112215_fluff;Eu lembro tão pouco... e mesmo assim quando penso na rosa, começo a me lembrar do que era.
112215_name;Iris von Everec
112215_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: destrói um artefato inimigo.\n<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: retira todos os efeitos de fileira do seu lado.
112401_fluff;Dizem que unicórnios gostam de virgens. Já que achar uma virgem hoje em dia é tão difícil quanto achar um unicórnio, ninguém conseguiu comprovar a teoria.
112401_name;Unicórnio
112401_tooltip;<keyword=deploy>Mobilização</keyword>: reforça uma unidade em {Boost}. Se você tiver Chironex na mão, a quantidade dobra.
112402_fluff;"Deuses, isso não é um unicórnio! Isso é...!" as últimas palavras de Vilemar, um famoso colecionador de curiosidades.
112402_name;Chironex
112402_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a uma unidade. Se você tiver Unicórnio na mão, a quantidade dobra.
112403_fluff;Conhece cem palavras, oitenta delas são insultos e as demais são conectivos.
112403_name;Duda: Companheiro
112403_tooltip;Reforça todas as unidades em uma fileira em {Boost}.
112404_fluff;O papagaio de Zoltan tinha a habilidade extraordinária de irritar qualquer um que passasse algum tempo com ele. Inclusive Zoltan.
112404_name;Duda: Agitador
112404_tooltip;Causa {Damage} de dano a todas as unidades em uma fileira.
112405_fluff;Um demônio parece quase como um cervo, como um cervo grande e maligno.
112405_name;Demônio
112405_tooltip;<keyword=deploy>Mobilização</keyword>: reforça todas as unidades de <keyword=deathwish>Desejo de Morte</keyword> na sua mão em {Boost}.
113101_fluff;Na Era Final, Hemdall vai surgir para enfrentar o mal vindo da terra de Morhögg, legiões de aparições, demônios e espectros do caos.
113101_name;Ragh Nar Roog
113101_tooltip;Aplica este efeito de fileira a uma fileira inimiga:\nA cada turno, no começo do turno, causa {Damage} de dano à unidade mais alta da fileira.
113102_fluff;Um djinn, bons senhores, realiza três desejos. Quando libertado, ele foge para dimensões desconhecidas.
113102_name;O Último Desejo
113102_tooltip;Olha as {Maxtargets} cartas no topo do seu baralho, depois usa uma e <keyword=banish>bane</keyword> a outra.
113201_fluff;Quando você fica sem camponeses, outras iscas servem para atrair as flechas.
113201_name;Isca
113201_tooltip;Embaralha um aliado do campo de batalha no seu baralho, depois usa a unidade no topo do seu baralho.
113202_fluff;O céu se escureceu de repente e nuvens se reuniram sobre a cidade. A escuridão aumentou diabolicamente e uma rajada fria se instaurou. "Oh, nossa", disse Yennefer, "acho que estamos prestes a fazer uma grande bagunça".
113202_name;Merigold: Granizo
113202_tooltip;Causa {Damage} de dano a {Maxtargets} inimigos.
113203_fluff;Isso não é uma tempestade normal. Isso aqui é a ira dos deuses.
113203_name;Skellige: Tempestade
113203_tooltip;Aplica este efeito de fileira a uma fileira inimiga:\nPor {Counter} turnos, no começo do turno, causa {Damage} de dano a todas as unidades da fileira.
113204_fluff;O feiticeiro Stammelford moveu uma montanha que obscurecia a vista da torre dele. Dizem que ele só conseguiu fazer isso porque acorrentou um d'ao, um elemental da terra.
113204_name;Tremores
113204_tooltip;Causa {Damage} de dano a todos os inimigos.
113205_fluff;Uma parte importante de todo equipamento de caçador de feiticeiros. Em um instante, transforma o feiticeiro mais poderoso em gelatina de porco pronta para cortar.
113205_name;Bomba de Dimerítio
113205_tooltip;Destrói um artefato.
113206_fluff;Contemple Tedd Deireadh, a Era Final. Esse é o mundo destruído pela Geada Branca.
113206_name;Geada Branca
113206_tooltip;Destrói todos os artefatos.
113207_fluff;Mais um para a moral, menos um para audição.
113207_name;Comandante: Corneta
113207_tooltip;Reforça {maxtargets} unidades adjacentes em {Boost}.
113208_fluff;O druida vaedermakar controla os elementos. Ele acalma e silencia tempestades, reúne o granizo destrutivo e invoca relâmpagos para transformar inimigos em cinzas. Então eu te aconselho... Trate-o com o maior respeito.
113208_name;Vaedermakar
113208_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: aumenta a duração de todos os efeitos de fileira em {Counter}.\n<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: reduz todas as durações de efeitos de fileira em {Counter2}.
113209_fluff;Algumas das monstruosas criações de Alzur ainda vagam pelo mundo. Não menos importante é o horrível viy, que massacrou seu mago-criador e destruiu metade de Maribor antes de fugir para os bosques sombrios de Riverdell.
113209_name;Cruz Dupla de Alzur
113209_tooltip;Usa a unidade mais alta do seu baralho.
113301_fluff;Não temos a mínima chance de realizar um feitiço tão complexo como o Trovão de Alzur. É dito que Alzur tinha a voz de uma corneta de caça e a dicção de um mestre orador.
113301_name;Trovão de Alzur
113301_tooltip;Causa {Damage} de dano a uma unidade.
113302_fluff;O melhor da geada? Os corpos dos mortos não apodrecem tão rápido.
113302_name;Frio Congelante
113302_tooltip;Aplica este efeito de fileira a uma fileira inimiga: \nPor {Counter} turnos, no começo do turno, causa {Damage} de dano à unidade mais baixa desta fileira.
113303_fluff;O Sol tá brilhando, Dromle! O Sol tá brilhando! Acho que ainda temos chance...
113303_name;Céu Limpo
113303_tooltip;Retira todos os efeitos de fileira do seu lado.
113305_fluff;O sonho de um bom comandante... e o terror de um péssimo.
113305_name;Névoa Impenetrável
113305_tooltip;Aplica este efeito de fileira a uma fileira inimiga:\nPor {Counter} turnos, no começo do turno, causa {Damage} de dano à unidade mais alta desta fileira.
113306_fluff;Mata mais rápido do que você consegue recitar o título inteiro do imperador de Nilfgaard.
113306_name;Veneno de mantícora
113306_tooltip;Causa {Damage} de dano a {MaxTargets} inimigos.
113307_fluff;A fera avançou neles, selvagem, com fúria nos olhos e imune a dor e a qualquer ataque que os defensores poderiam desferir. Nada poderia detê-la...
113307_name;Pico de Adrenalina
113307_tooltip;Concede ou remove <keyword=resilient>resiliência</keyword> de uma unidade.
113308_fluff;As epidemias não respeitam pessoas ou fronteiras.
113308_name;Epidemia
113308_tooltip;Destrói a(s) unidade(s) mais baixa(s).
113309_fluff;Geralt se afastou. Ele já viu homens serem atingidos por Incinerar antes. Ou, mais precisamente, viu o que restou deles depois.
113309_name;Incinerar
113309_tooltip;Destrói a(s) unidade(s) mais alta(s).
113310_fluff;Simbolizando nascimento e rejuvenescimento, esta poção acelera a velocidade na qual as feridas cicatrizam e curam.
113310_name;Andorinha
113310_tooltip;Reforça uma unidade em {Boost}.
113311_fluff;O rosto do bruxo mudou... Sua expressão se tornou desumana, horrenda.
113311_name;Trovoada
113311_tooltip;<keyword=zeal>Zelo</keyword>.\n<keyword=order>Ordem</keyword>: reforça uma unidade em {Boost}.\n<keyword=charge>Carga</keyword>: {Charges}.
113312_fluff;Até a chuva daqui tem cheiro podre.
113312_name;Chuva Torrencial
113312_tooltip;Aplica este efeito de fileira a uma fileira inimiga:\nPor {Counter} turnos, no começo do turno, causa {Damage} de dano a {MaxTargets} unidades aleatórias da fileira.
113313_fluff;Qualquer homem, mulher e criança em Skellige consegue cortar um inimigo com um machado. Mas só um grupo seleto consegue cortar as orelhas do inimigo com um grito de fúria.
113313_name;An Craite: Clamante
113313_tooltip;<keyword=deploy>Mobilização</keyword>: reforça a si mesma com a quantidade de dano sofrido por um inimigo.
113315_fluff;Encare por muito tempo o abismo, que o abismo encarará você de volta.
113315_name;Espelho de Bekker
113315_tooltip;Escolha uma unidade. Se estiver reforçada, causa dano a ela equivalente a duas vezes o seu reforço. Se estiver danificada, reforça-a em duas vezes o seu dano sofrido.
113316_fluff;Medicus curat, magicae sanat.
113316_name;Renovar
113316_tooltip;Usa uma unidade da sua pilha de descarte.
113319_fluff;Os braços do mago estavam torcidos e presos atrás das costas. Os redanianos deram uma boa sacudida nos grilhões. Terranova gritou, saltou, se curvou para trás, se curvou para frente, vomitou e gemeu. Estava claro do que eram feitas as suas algemas.
113319_name;Grilhão de Dimerítio
113319_tooltip;<keyword=lock>Bloqueia</keyword> uma unidade e causa {Damage} de dano a ela.
113320_fluff;Depois de comer vários deles, o mundo nunca mais será o mesmo...
113320_name;Mardroeme
113320_tooltip;Causa {Damage} de dano em uma unidade, depois a reforça em {Boost}.
122101_fluff;Não fui um bom pai, eu sei, mas... talvez não seja tarde demais.
122101_name;Barão Sanguinário
122101_tooltip;<keyword=order>Ordem</keyword>: dobra a contagem de <keyword=charge>carga</keyword> de uma unidade aliada.
122102_fluff;Um patriota... e um filho da mãe, literalmente.
122102_name;Vernon Roche
122102_tooltip;<keyword=spying>Espionagem</keyword>.\n<keyword=deploy>Mobilização</keyword>: usa as {MaxTargets} cartas no topo do seu baralho.
122103_fluff;Esse quadrado deveria ter os nomes dos meus soldados, dos mortos, não o meu.
122103_name;John Natalis
122103_tooltip;<keyword=melee>Corpo a corpo</keyword>: enquanto esta unidade estiver no campo de batalha, todas as unidades aliadas com <keyword=order>Ordens</keyword> ganham <keyword=zeal>Zelo</keyword>.
122104_fluff;Logo, o poder dos reis murchará, e a Estada tomará o seu lugar de direito.
122104_name;Philippa Eilhart
122104_tooltip;postponed
122105_fluff;Você acha mesmo que me engana com essa história que acabou de inventar?
122105_name;Sigismund Dijkstra
122105_tooltip;postponed
122106_fluff;Sou uma médica. Costumo saber o que faço quando prescrevo alguma coisa.
122106_name;Shani
122106_tooltip;<keyword=order>Ordem</keyword>: concede <keyword=immune>imune</keyword> a uma unidade.
122107_fluff;Capitão... nossas flechas, elas... elas criaram asas!
122107_name;Triss: Borboletas
122107_tooltip;<keyword=deploy>Mobilização</keyword>: Reforça uma unidade aleatória na sua mão em {Boost}.
122108_fluff;Se eu for morrer hoje, quero estar estonteante para a ocasião.
122108_name;Keira Metz
122108_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: usa um feitiço do seu baralho.
122201_fluff;Dandelion, você é cínico, tarado, mentiroso e o meu melhor amigo.
122201_name;Dandelion
122201_tooltip;<keyword=ranged>Longa distância</keyword>: sempre que um aliado ganha uma <keyword=charge>carga</keyword>, reforça-o em {Boost}.
122202_fluff;Imagine Dandelion de vestido e você tem uma boa ideia de quem se trata.
122202_name;Priscilla
122202_tooltip;<keyword=zeal>Zelo</keyword>.\n<keyword=order>Ordem</keyword>: concede {Charges} de <keyword=charge>carga</keyword> a uma unidade.\n<keyword=cooldown>Tempo de espera</keyword>: {Cooldown}.
122203_fluff;Se manda! Não somos todos tarados, caralho. Alguns de nós têm sentimentos.
122203_name;Thaler
122203_tooltip;<keyword=deploy>Mobilização</keyword>: remove todas as <keyword=charge>cargas</keyword> de um inimigo e a dá elas a Thaler.\n<keyword=order>Ordem</keyword>: concede {Charges2} de <keyword=charge>carga</keyword> a uma unidade aliada.\n<keyword=charge>Carga</keyword>: {Charges}.
122204_fluff;É melhor viver um dia como rei do que uma vida inteira como um pedinte.
122204_name;Ves
122204_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a um inimigo. \n<keyword=order>Ordem</keyword>: concede <keyword=zeal>Zelo</keyword> a um aliado.
122205_fluff;A Estada não é humilde. O nosso desejo de poder pode ser o nosso fim.
122205_name;Síle de Tansarville
122205_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a um inimigo.\n<keyword=order>Ordem</keyword>: causa {Damage} de dano a um inimigo.
122206_fluff;A filha da selva de Kaedwen.
122206_name;Sabrina Glevissig
122206_tooltip;<keyword=spying>Espionagem</keyword>.\n<keyword=deathwish>Desejo de Morte</keyword>: causa {Damage} de dano a todas as unidades nesta fileira.
122207_fluff;Uma vez, fiz um prisioneiro vomitar as próprias tripas... Ah, os bons tempos...
122207_name;Dethmold
122207_tooltip;<keyword=order>Ordem</keyword>, <keyword=ranged>Longa distância</keyword>: causa dano a um inimigo equivalente à quantidade de reforço recebido por Dethmold.
122208_fluff;Ele veste uma armadura de ouro. Claro que é um idiota.
122208_name;Príncipe Stennis
122208_tooltip;<keyword=deploy>Mobilização</keyword>: reforça um aliado em {Boost} e lhe concede {Charges} de <keyword=charge>carga</keyword>.
122209_fluff;Eu me juntar a exército Radovid. Ordem receber, proteger os barcoses.
122209_name;Trololó
122209_tooltip;postponed
122210_fluff;Disseram que a rainha tendia a ter acessos de raiva, mas não imaginava que...
122210_name;Princesa Pavetta
122210_tooltip;<keyword=deploy>Mobilização</keyword>: embaralha uma unidade de bronze e todas as suas cópias da sua pilha de descarte no seu baralho.
122211_fluff;Só me importo com o que é bom para Aretuza e meus pupilos.
122211_name;Margarita Laux-Antille
122211_tooltip;<keyword=zeal>Zelo</keyword>.\n<keyword=order>Ordem</keyword>: gasta {Charges} <keyword=charge>cargas</keyword> para <keyword=lock>bloquear</keyword> uma unidade inimiga.\n<keyword=charge>Carga</keyword>: {Charges}.
122212_fluff;Poucos sabem mais sobre a arte da cura que Nenneke.
122212_name;Nenneke
122212_tooltip;<keyword=order>Ordem</keyword>, <keyword=ranged>Longa distância</keyword>: reforça uma unidade em {Boost}.\n<keyword=charge>Carga</keyword>: {Charges}.
122213_fluff;Beber sem Odrin é como remar sem um remo.
122213_name;Odrin
122213_tooltip;<keyword=deploy>Mobilização</keyword>: concede {Charge} de <keyword=charge>carga</keyword> a todas as unidades aliadas.
122214_fluff;Avante, pobres coitados! Avante ou os nilfgaardianos serão a menor de suas preocupações!
122214_name;Kaedwen: Sargento
122214_tooltip;<keyword=zeal>Zelo</keyword>.\n<keyword=order>Ordem</keyword>: reforça um aliado em {Boost}.\n<keyword=charge>Carga</keyword>: {Charges}.
122216_fluff;Todos que desejam comercializar em Novigrad têm duas opções: aceitar os termos do Cutelo ou dar adeus.
122216_name;Cutelo
122216_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} a uma unidade para cada carta na sua mão.
122301_fluff;O que as bestas querem ser quando crescerem.
122301_name;Balista
122301_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano a uma unidade. \n<keyword=charge>Carga</keyword>: {Charges}.
122302_fluff;Nunca consegue acertar no mesmo lugar duas vezes, o que, pensando bem, pode ser um problema sério.
122302_name;Balista Reforçada
122302_tooltip;<keyword=order>Ordem</keyword>: causa {Damage} de dano a uma unidade. \n<keyword=charge>Carga</keyword>: {Charges}.
122303_fluff;O castelo não vai se derrubar sozinho, vai? Mexam esses trabucos!
122303_name;Trabuco
122303_tooltip;<keyword=order>Ordem</keyword>, <keyword=ranged>Longa distância</keyword>: causa {Damage} de dano a uma unidade. Se ela for destruída, causa {Damage} de dano às unidades adjacentes a ela.\n<keyword=charge>Carga</keyword>:{Charges}.
122304_fluff;A nova moda em ataques a cidades muradas.
122304_name;Torre de Cerco
122304_tooltip;<keyword=order>Ordem</keyword>, <keyword=melee>Corpo a corpo</keyword>: reforça aliados adjacentes em {Boost}.\n<keyword=charge>Carga</keyword>: {Charges}.
122306_fluff;Está vendo essa tatuagem? Sou eu, atacando um dragão. Um DRAGÃO, senhora.
122306_name;Saqueador Caçador
122306_tooltip;postponed
122307_fluff;Não tivemos muita sorte com monstros recentemente, então nos alistamos.
122307_name;Saqueador Batedor
122307_tooltip;postponed
122308_fluff;Pela glória! Por Radovid!
122308_name;Cavaleiro Redaniano
122308_tooltip;postponed
122309_fluff;"Precisa recalibrar o braço em cinco graus." "Precisa o que e quanto?"
122309_name;Auxiliar de Cerco
122309_tooltip;<keyword=deploy>Mobilização</keyword>: concede {Charges} de <keyword=charge>carga</keyword> a uma máquina aliada.
122310_fluff;Os Listras Azuis e os Scoia'tael têm uma semelhança: o ódio alimenta ambos.
122310_name;Batedor dos Listras Azuis
122310_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: <keyword=spawn>faz surgir</keyword> uma cópia de um aliado de bronze para o fim do seu baralho.
122311_fluff;Faria qualquer coisa por Teméria, mas, na maioria das vezes, eu mato por ela.
122311_name;Listra Azul: Comando
122311_tooltip;<keyword=order>Ordem</keyword>: <keyword=summon>invoca</keyword> uma cópia desta unidade do seu baralho para esta fileira.
122312_fluff;Vermelho no vermelho, branco no branco e tudo estará bem.
122312_name;Médica de Campo
122312_tooltip;<keyword=deploy>Mobilização</keyword>: reforça unidades adjacentes em {Boost}.
122313_fluff;Todos, fiquem calmos. E em alerta. Os verdadeiros donos desses mantos e desses chapéus de pele de castor podem estar em outro lugar.
122313_name;Bandeira de Dun
122313_tooltip;<keyword=deploy>Mobilização</keyword>: ganha <keyword=zeal>Zelo</keyword> se usado adjacente a {MaxTargets} soldados.\n<keyword=order>Ordem</keyword>: causa {Damage} de dano a um inimigo.
122314_fluff;Sempre quis saber... como diachos esses rapazes lidam com os chamados da natureza?
122314_name;Kaedwen: Cavalaria
122314_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=melee>Corpo a corpo</keyword>: remove todas as <keyword=charge>cargas</keyword> de um inimigo, depois causa dano a ele equivalente ao número de cargas removidas.
122315_fluff;Sentiu isso? A terra treme toda vez que a grande Bertha perde uma pedra.
122315_name;Trabuco Reforçado
122315_tooltip;<keyword=ranged>Longa distância</keyword>: a cada turno, no fim do turno, causa {Damage} de dano a um inimigo aleatório na fileira de longa distância.
122316_fluff;Teméria! Teméria! Que os deuses lhe concedam sua graça! E pela eternidade golpeiem seus inimigos com desgraça!
122316_name;Teméria: Infantaria
122316_tooltip;<keyword=deploy>Mobilização</keyword>: causa {Damage} de dano a um inimigo por cada unidade reforçada nesta fileira.
122317_fluff;Morrerei pela Redânia, matarei pela Redânia... Comerei minhocas pela Redânia!
122317_name;Elite Redaniana
122317_tooltip;postponed
122318_fluff;Nunca erro uma segunda vez.
122318_name;Mestre em Cerco
122318_tooltip;Sempre que uma máquina é colocada nesta fileira, concede <keyword=zeal>zelo</keyword> a ela.
122401_fluff;Reconheça os seus erros e enterre-os, ou eles voltarão para assombrá-lo.
122401_name;Fetulho
122401_tooltip;A cada turno, no fim do turno, causa {Damage} de dano ao inimigo mais poderoso.\n<keyword=order>Ordem</keyword>: transforma-se em um Protego.
122402_fluff;Dou-te o nome de Dea... E te aceito como minha filha.
122402_name;Protego
122402_tooltip;A cada turno, no fim do turno, reforça o aliado menos poderoso em {Boost}.\n<keyword=order>Ordem</keyword>: transforma-se em um Fetulho.
122403_fluff;Os magos em Nilfgaard são descartáveis. Se um deles decepciona o imperador, uma dúzia aguarda para dar o que ele deseja.
122403_name;Novato de Vicovaro
122403_tooltip;<keyword=deploy>Mobilização</keyword>, <keyword=ranged>Longa distância</keyword>: compra uma carta, depois coloca uma carta da sua mão no topo do seu baralho.
123201_fluff;Soe a retirada! Reagrupar! E espere reforços!
123201_name;Reforços
123201_tooltip;<keyword=spawn>Faz surgir</keyword> uma cópia de uma unidade de bronze aliada e a <keyword=summon>invoca</keyword> para esta fileira.
123301_fluff;Não é riqueza ou fama, mas a sincera intenção, é isso que um herói tem no coração!
123301_name;Aspirante Temeriano
123301_tooltip;<keyword=spawn>Faz surgir</keyword>
131101_fluff;Tenha um pouco de dignidade. Sabes bem como isto termina.
131101_name;Eredin Bréacc Glas
131101_tooltip;<keyword=order>Ordem</keyword>: reforça uma unidade em {Boost} e concede a ela <keyword=immune>imune</keyword>.
131102_fluff;Pinturas devem transmitir emoções, não palavras.
131102_name;Ge'els
