1_name_lt;Gelo pungente
112108_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: danneggia di {Damage} tutte le altre unità. \n<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: potenzia di {Boost} tutte le altre unità.
112109_fluff;Chiedo scusa. Il mio animaletto esotico è un uccello sveglio, ma privo di pudore. Ho pagato dieci talleri per questa bellezza.
112109_name;Zoltan: furfante
112109_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: <keyword=spawn>evoca</keyword> e mette in gioco Duda: agitatore.\n<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: <keyword=spawn>evoca</keyword> e mette in gioco Duda: compagno.
112110_fluff;Sai quando le fiabe cessano di essere tali? Quando la gente inizia a crederci.
112110_name;Ciri: corsa
112110_tooltip;Dopo {Counter} turni, all'inizio del turno, pesca una carta.
112111_fluff;Un'esplosione di energia concentrata che annienta tutto ciò che incontra. L'ideale, quando dimentichi le chiavi di casa.
112111_name;Geralt: Aard
112111_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: danneggia {Maxtargets} nemici di {Damage} e, se possibile, li sposta sulla fila del combattimento a distanza.
112112_fluff;Tra gli elfi liberi c'erano alcuni Aen Saevherne, o Saggi. Erano un mistero che alimentava molte leggende.
112112_name;Avallac'h: saggio
112112_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: mette in gioco un manufatto dal tuo mazzo.
112113_fluff;Una brava maga sa quando evocare il ghiaccio e quando il fuoco.
112113_name;Yennefer: invocatrice
112113_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} l'unità o le unità più forti. \n<keyword=cooldown>Recupero</keyword>: {Cooldown}.
112201_fluff;La sua specie ha avuto molti nomi in passato, ma oggi vengono chiamati mutaforma.
112201_name;Dudu
112201_tooltip;<keyword=deploy>Schieramento</keyword>: si trasforma nella copia base di un'unità nemica.
112202_fluff;Sono un semplice witcher, Lupo. Non affronto draghi, non faccio amicizia con i re e non mi intrattengo con le maghe...
112202_name;Eskel
112202_tooltip;<keyword=deploy>Schieramento</keyword>: <keyword=summon>richiama</keyword> Vesemir e Lambert dal tuo mazzo su questa fila.
112203_fluff;Se stanno per impiccarti, chiedi da bere. Può succedere di tutto nel frattempo.
112203_name;Vesemir
112203_tooltip;<keyword=deploy>Schieramento</keyword>: <keyword=summon>richiama</keyword> Eskel e Lambert dal tuo mazzo su questa fila.
112204_fluff;Questo è il tipo di trattativa che preferisco.
112204_name;Lambert
112204_tooltip;<keyword=deploy>Schieramento</keyword>: <keyword=summon>richiama</keyword> Eskel e Vesemir dal tuo mazzo su questa fila.
112205_fluff;Mai frapporsi tra una draghessa e il suo cucciolo.
112205_name;Myrgtabrakke
112205_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} un nemico. \n<keyword=charge>Cariche</keyword>: {Charges}.
112206_fluff;Signore del Monte Quarzo, Distruttore, Massacratore di Trajan. Nel tempo libero ama le lunghe passeggiate e le cene a lume di candela.
112206_name;Ocvist
112206_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} tutti i nemici.
112207_fluff;Almeno ora sai che non perdo facilmente la testa.
112207_name;Olgierd von Everec
112207_tooltip;<keyword=order>Ordine</keyword>: si <keyword=heal>cura</keyword>.\n<keyword=cooldown>Recupero</keyword>: {Cooldown}.
112208_fluff;Mentre tempo e spazio collassano davanti a noi, si espandono alle nostre spalle. In questo senso avanziamo in entrambi.
112208_name;Operatore
112208_tooltip;<keyword=deploy>Schieramento</keyword>: <keyword=spawn>evoca</keyword> e <keyword=summon>richiama</keyword> una copia base di un'unità Bronzo della tua mano su questa fila in entrambe le metà di campo.
112209_fluff;Muuu.
112209_name;Mucca premiata
112209_tooltip;<keyword=order>Ordine</keyword>: si trasforma in un Chort.
112210_fluff;Geralt, sarò onesta: non offenderti, eh, ma a cavalcare non ci sai proprio fare.
112210_name;Rutilia
112210_tooltip;Ogni volta che giochi una carta Oro, <keyword=summon>richiama</keyword> questa unità dal tuo mazzo su una fila alleata casuale.
112211_fluff;Cosa sarebbe la vita senza poter dire "tutti e trentatré trotterellando"?
112211_name;Johnny
112211_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.\nAggiunge {Charges2} alle proprie <keyword=charge>Cariche</keyword> ogni volta che giochi una carta Speciale.
112212_fluff;La piccola Sarah vuole giocare!
112212_name;Sarah
112212_tooltip;<keyword=order>Ordine</keyword>: potenzia di {Boost} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.\nAggiunge {Charges2} alle proprie <keyword=charge>Cariche</keyword> ogni volta che giochi una carta Speciale.
112213_fluff;Potrei scoprire che sto benissimo senza le orecchie. O le mani. Pare che il Re dei Mendicanti accetti entrambe le cose come pagamento parziale.
112213_name;Re dei Mendicanti
112213_tooltip;Alla fine di ogni turno, potenzia di {Boost} l'unità meno forte nella tua mano.
112214_fluff;È uno dei capi che controllano i bassifondi della città, insieme a Sigi Reuven, a Carlo "Mannaia" Varese e al Re dei Mendicanti.
112214_name;Cyprian Wiley
112214_tooltip;<keyword=deploy>Schieramento</keyword>: <keyword=banish>bandisce</keyword> un'unità con al massimo {Power} di forza.
112215_fluff;Ricordo così poco... Ma quando penso alla mia rosa i ricordi iniziano a riaffiorare.
112215_name;Iris von Everec
112215_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: distrugge un manufatto nemico.\n<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: rimuove tutti gli effetti su fila dalla tua metà di campo.
112401_fluff;Dicono che gli unicorni siano attratti dalle vergini. Poiché al giorno d'oggi le vergini sono più rare degli unicorni, risulta impossibile verificare questa teoria.
112401_name;Unicorno
112401_tooltip;<keyword=deploy>Schieramento</keyword>: potenzia di {Boost} un'unità. Se hai in mano il Chironex, raddoppia il potenziamento.
112402_fluff;"Per gli dei, non è un unicorno! È...!": le ultime parole di Vilemar, grande collezionista di curiosità.
112402_name;Chironex
112402_tooltip;<keyword=deploy>Schieramento</keyword>: danneggia di {Damage} un'unità. Se hai in mano l'Unicorno, raddoppia i danni.
112403_fluff;Conosce un centinaio di parole: ottanta sono volgari, e il resto sono congiunzioni.
112403_name;Duda: compagno
112403_tooltip;Potenzia di {Boost} tutte le unità di una fila.
112404_fluff;Il pappagallo di Zoltan aveva la straordinaria capacità di irritare chiunque. Zoltan compreso.
112404_name;Duda: agitatore
112404_tooltip;Danneggia di {Damage} tutte le unità di una fila.
112405_fluff;Il demonio somiglia ai cervi. A un enorme cervo malvagio.
112405_name;Demonio
112405_tooltip;<keyword=deploy>Schieramento</keyword>: potenzia di {Boost} tutte le unità con <keyword=deathwish>Ultimo desiderio</keyword> nella tua mano.
113101_fluff;Nel Tempo della Fine, Hemdall affronterà il male proveniente dalla terra di Mörhogg: legioni di wraith, demoni e spettri del Caos.
113101_name;Ragh nar Roog
113101_tooltip;Applica questo effetto a una fila nemica:\nAll'inizio di ogni turno, danneggia di {Damage} l'unità più forte di questa fila.
113102_fluff;Un djinn, signori miei, esaudisce tre desideri. Fatto questo, fugge in una dimensione sconosciuta.
113102_name;L'ultimo desiderio
113102_tooltip;Guarda le prime {Maxtargets} carte del tuo mazzo, poi giocane una e <keyword=banish>bandisci</keyword> l'altra.
113201_fluff;Quando resti a corto di contadini, le esche sono un ottimo surrogato.
113201_name;Esca
113201_tooltip;Rimescola un alleato dal campo di battaglia nel tuo mazzo, poi metti in gioco la prima unità del tuo mazzo.
113202_fluff;Il cielo si fece buio di colpo e le nubi si ammassarono sopra la città. Calò un'oscurità innaturale, accompagnata dal gelo. "Accidenti!" esclamò Yennefer. "Sta per scatenarsi un disastro, temo."
113202_name;Grandine di Merigold
113202_tooltip;Danneggia {Maxtargets} nemici di {Damage}.
113203_fluff;Non è una normale tempesta. Questa è l'ira degli dei.
113203_name;Tempesta di Skellige
113203_tooltip;Applica questo effetto a una fila nemica:\nPer {Counter} turni, all'inizio del turno, danneggia di {Damage} tutte le unità di questa fila.
113204_fluff;Il mago Stammelford spostò una montagna che ostruiva la vista dalla sua torre. Si dice che ci riuscì solo perché controllava un d'ao, elementale della terra.
113204_name;Sisma di Stammelford
113204_tooltip;Danneggia di {Damage} tutti i nemici.
113205_fluff;Non può mancare nel bagaglio del cacciatore di streghe: in un lampo trasforma il mago più temibile in un agnellino pronto da affettare.
113205_name;Bomba al dimeritium
113205_tooltip;Distrugge un manufatto.
113206_fluff;Ammirate Tedd Deireadh, il Tempo della Fine! Il mondo distrutto dal Bianco Gelo!
113206_name;Bianco Gelo
113206_tooltip;Distrugge tutti i manufatti.
113207_fluff;Più uno al morale, meno uno all'udito.
113207_name;Corno del comandante
113207_tooltip;Potenzia {maxtargets} unità adiacenti di {Boost}.
113208_fluff;Il druido Vaedermakar controlla gli elementi. Può tacitare le tempeste, scatenare la grandine o evocare fulmini in grado di ridurre i nemici in cenere. Perciò dammi retta, trattalo con grande rispetto.
113208_name;Vaedermakar
113208_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: aumenta di {Counter} la durata di tutti gli effetti su fila.\n<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: riduce di {Counter2} la durata di tutti gli effetti su fila.
113209_fluff;Alcune delle creature mostruose generate dal mago Alzur si aggirano per il mondo ancora oggi. Tra esse, il terribile Viy, che massacrò il suo stesso creatore e distrusse mezza Maribor prima di fuggire nei boschi di Riverdell.
113209_name;Evocazione di Alzur
113209_tooltip;Metti in gioco l'unità più forte del tuo mazzo.
113301_fluff;Non abbiamo alcuna possibilità di lanciare un incantesimo complesso come il Tuono di Alzur. Si dice che Alzur avesse una voce tonante come un corno, ma con la dizione di un fine oratore.
113301_name;Tuono di Alzur
113301_tooltip;Danneggia di {Damage} un'unità.
113302_fluff;Il bello del gelo è che i corpi non imputridiscono subito.
113302_name;Gelo pungente
113302_tooltip;Applica questo effetto a una fila nemica:\nPer {Counter} turni, all'inizio del turno, danneggia di {Damage} l'unità meno forte di questa fila.
113303_fluff;Il sole splende, Dromle! Il sole splende! Forse dopo tutto c'è ancora speranza...
113303_name;Cieli tersi
113303_tooltip;Rimuove tutti gli effetti su fila dalla tua metà di campo.
113305_fluff;Il sogno del buon comandante... e l'incubo di quello incapace.
113305_name;Nebbia impenetrabile
113305_tooltip;Applica questo effetto a una fila nemica:\nPer {Counter} turni, all'inizio del turno, danneggia di {Damage} l'unità più forte di questa fila.
113306_fluff;Ti uccide prima ancora che tu possa recitare il nome completo dell'Imperatore di Nilfgaard.
113306_name;Veleno di manticora
113306_tooltip;Danneggia {MaxTargets} nemici di {Damage}.
113307_fluff;La bestia si scagliò verso di loro, con la furia negli occhi, immune al dolore e ai colpi sferrati da chi le si parava davanti. Nulla poteva fermarla...
113307_name;Scarica d'adrenalina
113307_tooltip;Fornisce o toglie <keyword=resilient>Resistenza</keyword> a un'unità.
113308_fluff;Le epidemie non rispettano né persone né confini.
113308_name;Epidemia
113308_tooltip;Distrugge le una o più unità meno forti.
113309_fluff;Geralt arretrò di un passo. Aveva già visto uomini colpiti dall'Ustione. O, per la precisione, aveva visto ciò che restava di loro.
113309_name;Ustione
113309_tooltip;Distrugge le una o più unità più forti.
113310_fluff;La rondine, simbolo della primavera e della rinascita, presta il suo nome a questa pozione che accelera il rimarginarsi delle ferite e il recupero della salute.
113310_name;Rondine
113310_tooltip;Potenzia di {Boost} un'unità.
113311_fluff;Il volto del witcher cambiò. I suoi tratti non erano più umani!
113311_name;Tuono
113311_tooltip;<keyword=zeal>Fervore</keyword>.\n<keyword=order>Ordine</keyword>: potenzia di {Boost} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.
113312_fluff;Da queste parti persino la pioggia puzza.
113312_name;Pioggia torrenziale
113312_tooltip;Applica questo effetto a una fila nemica:\nPer {Counter} turni, all'inizio del turno, danneggia {MaxTargets} unità casuali della fila di {Damage}.
113313_fluff;Ogni uomo, donna e bambino di Skellige può tagliare in due un nemico con l'ascia. Tuttavia, soltanto alcuni veterani sanno sfondare i timpani dei nemici con un urlo furioso.
113313_name;An Craite: urlatore
113313_tooltip;<keyword=deploy>Schieramento</keyword>: si potenzia di una quantità pari ai danni subiti da un nemico.
113315_fluff;Scruta abbastanza a lungo nell'abisso, e sarà l'abisso a scrutare dentro di te.
113315_name;Specchio di Bekker
113315_tooltip;Scegli un'unità. Se è potenziata, la danneggia di due volte il valore del potenziamento. Se è danneggiata, la potenzia di due volte il valore del danneggiamento.
113316_fluff;Medicus curat, magia sanat.
113316_name;Rinnovamento
113316_tooltip;Metti in gioco un'unità dal tuo cimitero.
113319_fluff;Il mago aveva le braccia incatenate dietro la schiena. I Redaniani scossero le catene e Terranova urlò, agitandosi avanti e indietro, in preda a gemiti e conati di vomito. Era chiaro di cosa fossero fatte le sue manette.
113319_name;Catene di dimeritium
113319_tooltip;<keyword=lock>Blocca</keyword> un'unità e la danneggia di {Damage}.
113320_fluff;Se ne mangi abbastanza, il mondo non ti sembrerà più lo stesso...
113320_name;Mardroeme
113320_tooltip;Danneggia di {Damage} un'unità, poi la potenzia di {Boost}.
122101_fluff;Non sono stato un buon padre, lo so, ma... forse non è troppo tardi!
122101_name;Barone Sanguinario
122101_tooltip;<keyword=order>Ordine</keyword>: raddoppia il numero di <keyword=charge>Cariche</keyword> di un alleato.
122102_fluff;Grande patriota, ma anche gran piantagrane.
122102_name;Vernon Roche
122102_tooltip;<keyword=spying>Spia</keyword>.\n<keyword=deploy>Schieramento</keyword>: gioca le prime {MaxTargets} carte del tuo mazzo.
122103_fluff;Quella piazza dovrebbe essere intitolata agli uomini che sono morti, non a me.
122103_name;Jan Natalis
122103_tooltip;<keyword=melee>Prima fila</keyword>: mentre questa unità è in campo, tutte le unità alleate con <keyword=order>Ordine</keyword> ottengono <keyword=zeal>Fervore</keyword>.
122104_fluff;Presto il potere dei re svanirà e la Loggia avrà il posto che le spetta.
122104_name;Philippa Eilhart
122104_tooltip;postponed
122105_fluff;Pensi davvero di fregarmi con questa storiella?
122105_name;Sigismund Dijkstra
122105_tooltip;postponed
122106_fluff;Sono un medico: in genere so quel che faccio quando prescrivo qualcosa.
122106_name;Shani
122106_tooltip;<keyword=order>Ordine</keyword>: fornisce <keyword=immune>Immunità</keyword> a un'unità.
122107_fluff;Capitano! Le nostre frecce hanno... le ali!
122107_name;Triss: farfalle
122107_tooltip;<keyword=deploy>Schieramento</keyword>: potenzia di {Boost} un'unità casuale nella tua mano.
122108_fluff;Se devo morire oggi, voglio essere splendida per l'occasione.
122108_name;Keira Metz
122108_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: gioca un Incantesimo del tuo mazzo.
122201_fluff;Dandelion, sei un cinico bellimbusto, ma sei il mio migliore amico.
122201_name;Dandelion
122201_tooltip;<keyword=ranged>Retrovie</keyword>: ogni volta che un alleato ottiene una <keyword=charge>Carica</keyword>, lo potenzia di {Boost}.
122202_fluff;Immagina Dandelion vestito da donna e potrai farti un'idea.
122202_name;Priscilla
122202_tooltip;<keyword=zeal>Fervore</keyword>.\n<keyword=order>Ordine</keyword>: aggiunge {Charges} alle <keyword=charge>Cariche</keyword> di un'unità. \n<keyword=cooldown>Recupero</keyword>: {Cooldown}.
122203_fluff;Al diavolo! Non siamo tutti dei donnaioli. Alcuni di noi credono nei sentimenti...
122203_name;Thaler
122203_tooltip;<keyword=deploy>Schieramento</keyword>: rimuove tutte le <keyword=charge>Cariche</keyword> da un nemico e le assegna a Thaler.\n<keyword=order>Ordine</keyword>: aggiunge {Charges2} alle <keyword=charge>Cariche</keyword> di un'unità alleata.\n<keyword=charge>Cariche</keyword>: {Charges}.
122204_fluff;Meglio vivere un giorno da re che una vita da mendicante.
122204_name;Ves
122204_tooltip;<keyword=deploy>Schieramento</keyword>: danneggia di {Damage} un nemico. \n<keyword=order>Ordine</keyword>: fornisce <keyword=zeal>Fervore</keyword> a un alleato.
122205_fluff;La Loggia pecca di superbia. La nostra brama di potere ci rovinerà.
122205_name;Sheala
122205_tooltip;<keyword=deploy>Schieramento</keyword>: danneggia di {Damage} un nemico.\n<keyword=order>Ordine</keyword>: danneggia di {Damage} un nemico.
122206_fluff;La figlia della selvaggia natura del Kaedwen.
122206_name;Sabrina Glevissig
122206_tooltip;<keyword=spying>Spia</keyword>. \n<keyword=deathwish>Ultimo desiderio</keyword>: danneggia di {Damage} tutte le unità di questa fila.
122207_fluff;Una volta ho fatto vomitare le interiora a un prigioniero. Ah, bei tempi!
122207_name;Dethmold
122207_tooltip;<keyword=order>Ordine</keyword>, <keyword=ranged>Retrovie</keyword>: danneggia un nemico di un valore pari al potenziamento di Dethmold.
122208_fluff;Indossa un'armatura d'oro. Per forza è uno sbruffone.
122208_name;Principe Stennis
122208_tooltip;<keyword=deploy>Schieramento</keyword>: potenzia di {Boost} un alleato e aggiunge {Charges} alle sue <keyword=charge>Cariche</keyword>.
122209_fluff;Troll unito a esercito di Re Radovid. Ordine ha... Guardia a barche.
122209_name;Trollolo
122209_tooltip;postponed
122210_fluff;Si diceva che la regina fosse soggetta ad attacchi d'ira, ma non immaginavo nulla di simile...
122210_name;Principessa Pavetta
122210_tooltip;<keyword=deploy>Schieramento</keyword>: rimescola nel tuo mazzo un'unità Bronzo e tutte le sue copie presenti nel tuo cimitero.
122211_fluff;Mi sta a cuore solo il bene di Aretuza e delle mie allieve.
122211_name;Margarita Laux-Antille
122211_tooltip;<keyword=zeal>Fervore</keyword>.\n<keyword=order>Ordine</keyword>: usa {Charges} delle sue <keyword=charge>Cariche</keyword> per <keyword=lock>bloccare</keyword> un'unità nemica.\n<keyword=charge>Cariche</keyword>: {Charges}.
122212_fluff;In pochi conoscono le arti curative come Nenneke.
122212_name;Nenneke
122212_tooltip;<keyword=order>Ordine</keyword>, <keyword=ranged>Retrovie</keyword>: potenzia di {Boost} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.
122213_fluff;Bere senza Odrin è come remare senza remi.
122213_name;Odrin
122213_tooltip;<keyword=deploy>Schieramento</keyword>: aggiunge {Charge} alle <keyword=charge>Cariche</keyword> di tutte le unità alleate.
122214_fluff;Avanti, uomini! Avanti, ho detto, o i nilfgaardiani saranno l'ultimo dei vostri problemi!
122214_name;Kaedwen: sergente
122214_tooltip;<keyword=zeal>Fervore</keyword>.\n<keyword=order>Ordine</keyword>: potenzia di {Boost} un alleato. \n<keyword=charge>Cariche</keyword>: {Charges}.
122216_fluff;Chi vuole fare affari a Novigrad o si accorda con Mannaia, o può dire addio alle sue ginocchia.
122216_name;Mannaia
122216_tooltip;<keyword=deploy>Schieramento</keyword>: danneggia di {Damage} un'unità per ogni carta che hai in mano.
122301_fluff;L'arma che tutte le balestre sognano di diventare da grandi.
122301_name;Balista
122301_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.
122302_fluff;Non colpisce mai due volte nello stesso punto. Il che, a pensarci bene, potrebbe essere un problema.
122302_name;Balista rinforzata
122302_tooltip;<keyword=order>Ordine</keyword>: danneggia di {Damage} un'unità. \n<keyword=charge>Cariche</keyword>: {Charges}.
122303_fluff;Non crederete che il castello crollerà da solo? Diamoci dentro con questi trabucchi!
122303_name;Trabucco
122303_tooltip;<keyword=order>Ordine</keyword>, <keyword=ranged>Retrovie</keyword>: danneggia di {Damage} un'unità. Se viene distrutta, danneggia di {Damage} le unità adiacenti.\n<keyword=charge>Cariche</keyword>: {Charges}.
122304_fluff;L'ultima novità in materia di assedi alle città fortificate.
122304_name;Torre d'assedio
122304_tooltip;<keyword=order>Ordine</keyword>, <keyword=melee>Prima fila</keyword>: potenzia di {Boost} gli alleati adiacenti a questa unità. \n<keyword=charge>Cariche</keyword>: {Charges}.
122306_fluff;Vedete questo tatuaggio? Sono io che affronto un drago. Sì, un drago, mia signora!
122306_name;Razziatori: caccia
122306_tooltip;postponed
122307_fluff;Non abbiamo avuto fortuna con i mostri ultimamente, così ci siamo arruolati.
122307_name;Razziatori: scout
122307_tooltip;postponed
122308_fluff;Per la gloria! Per Radovid!
122308_name;Redania: cavaliere
122308_tooltip;postponed
122309_fluff;"Devi ricalibrare il braccio di cinque gradi." "Devo fare cosa di quanto?"
122309_name;Aiuto-assediante
122309_tooltip;<keyword=deploy>Schieramento</keyword>: aggiungi {Charges} alle <keyword=charge>Cariche</keyword> di una Macchina da guerra alleata.
122310_fluff;Bande Blu e Scoia'tael hanno una cosa in comune: sono spinti dall'odio.
122310_name;Bande Blu: ricognitore
122310_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: <keyword=spawn>evoca</keyword> in fondo al mazzo una copia di un alleato Bronzo.
122311_fluff;Farei tutto per Temeria. In genere, uccido in suo nome.
122311_name;Bande Blu: commando
122311_tooltip;<keyword=order>Ordine</keyword>: <keyword=summon>richiama</keyword> una copia di questa unità dal tuo mazzo su questa fila.
122312_fluff;Cuci il rosso al rosso e il bianco al bianco, e andrà tutto bene.
122312_name;Medico da campo
122312_tooltip;<keyword=deploy>Schieramento</keyword>: Potenzia le unità adiacenti di {Boost}.
122313_fluff;State tutti calmi. E pronti. I veri proprietari di questi mantelli e cappelli in pelliccia di castoro potrebbero essere ovunque.
122313_name;Stendardo Grigio
122313_tooltip;<keyword=deploy>Schieramento</keyword>: ottiene <keyword=zeal>Fervore</keyword> se viene messa in gioco adiacente a {MaxTargets} Soldati.\n<keyword=order>Ordine</keyword>: danneggia di {Damage} un nemico.
122314_fluff;Mi sono sempre chiesto una cosa: come diavolo fanno questi tizi quando la natura chiama...?
122314_name;Kaedwen: cavalleria
122314_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=melee>Prima fila</keyword>: rimuove tutte le <keyword=charge>Cariche</keyword> da un nemico, poi lo danneggia di un valore pari alle Cariche rimosse.
122315_fluff;Lo senti? La terra trema ogni volta che la Grande Bertha scaglia una pietra!
122315_name;Trabucco rinforzato
122315_tooltip;<keyword=ranged>Retrovie</keyword>: alla fine di ogni turno, danneggia di {Damage} un nemico casuale sulla fila del combattimento a distanza.
122316_fluff;Temeria! Temeria! Che gli dei ti ricoprano di gloria! E che i tuoi nemici siano maledetti, per l'eternità!
122316_name;Temeria: fanteria
122316_tooltip;<keyword=deploy>Schieramento</keyword>: danneggia di {Damage} un nemico per ogni unità potenziata presente su questa fila.
122317_fluff;Morirei per la Redania, per lei ucciderei e mi nutrirei persino di vermi!
122317_name;Redania: unità élite
122317_tooltip;postponed
122318_fluff;Non manco mai due volte.
122318_name;Mastro d'assedio
122318_tooltip;Ogni volta che una Macchina da guerra viene posizionata su questa fila, le fornisce <keyword=zeal>Fervore</keyword>.
122401_fluff;Ammetti i tuoi errori e impara a seppellirli, o torneranno a perseguitarti.
122401_name;Botchling
122401_tooltip;Alla fine di ogni turno, danneggia di {Damage} il nemico più forte. \n<keyword=order>Ordine</keyword>: si trasforma in un Lubberkin.
122402_fluff;Per te scelgo il nome di Dea e ti abbraccio come mia figlia.
122402_name;Lubberkin
122402_tooltip;Alla fine di ogni turno, potenzia di {Boost} l'alleato meno forte. \n<keyword=order>Ordine</keyword>: si trasforma in un Botchling.
122403_fluff;I maghi di Nilfgaard sono sacrificabili. Se qualcuno delude l'Imperatore, non mancheranno dei sostituti per soddisfare i suoi desideri.
122403_name;Novizio di Vicovaro
122403_tooltip;<keyword=deploy>Schieramento</keyword>, <keyword=ranged>Retrovie</keyword>: pesca una carta, poi sposta una carta della tua mano in cima al tuo mazzo.
123201_fluff;Suonate la ritirata! Raggruppiamoci in attesa di rinforzi!
123201_name;Rinforzi
123201_tooltip;<keyword=spawn>Evoca</keyword> una copia di un'unità Bronzo alleata e la <keyword=summon>richiama</keyword> su questa fila.
123301_fluff;Né fama, né oro ti spingono a lottare, se un vero eroe vuoi diventare!
123301_name;Temeria: aspirante
123301_tooltip;<keyword=spawn>Evoca</keyword>
131101_fluff;Abbi un po' di dignità! Sai come andrà a finire.
131101_name;Eredin Bréacc Glas
131101_tooltip;<keyword=order>Ordine</keyword>: potenzia di {Boost} un'unità e le fornisce <keyword=immune>Immunità</keyword>.
131102_fluff;I dipinti comunicano emozioni, non parole.
131102_name;Ge'els
