1_name_lt;Escarcha Polar
112112_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: juega un artefacto de tu mazo.
112113_fluff;Una buena hechicera debe saber cuándo conjurar hielo... y cuándo conjurar fuego.
112113_name;Yennefer: Conjuradora
112113_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño a la(s) unidad(es) enemigas de más poder. \n<keyword=cooldown>Enfriamiento</keyword>: {Cooldown}.
112201_fluff;Un mímico, entre los muchos otros nombres que reciben los de su clase: cambiantes, dobles, vexlings... o dopplers.
112201_name;Dudu
112201_tooltip;<keyword=deploy>Despliegue</keyword>: se transforma en una copia básica de una unidad enemiga.
112202_fluff;Yo soy un brujo común y corriente, Lobo. No lucho contra dragones, no fraternizo con reyes y no me acuesto con hechiceras...
112202_name;Eskel
112202_tooltip;<keyword=deploy>Despliegue</keyword>: <keyword=summon>invoca</keyword> a Vesemir y a Lambert desde tu mazo a esta fila.
112203_fluff;Si te condenan a la horca, pide agua. Puede pasar de todo mientras la traen.
112203_name;Vesemir
112203_tooltip;<keyword=deploy>Despliegue</keyword>: <keyword=summon>invoca</keyword> a Eskel y a Lambert desde tu mazo a esta fila.
112204_fluff;Esa es la clase de acuerdos que me gusta.
112204_name;Lambert
112204_tooltip;<keyword=deploy>Despliegue</keyword>: <keyword=summon>invoca</keyword> a Eskel y a Vesemir desde tu mazo a esta fila.
112205_fluff;Nunca te metas entra una dragona madre y su cría.
112205_name;Myrgtabrakke
112205_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño en un enemigo. \n<keyword=charge>Cargas</keyword>: {Charges}.
112206_fluff;El Amo de la Montaña Cuarzo, el Destructor, el Asesino de Trajan. En su tiempo libre, le gusta salir a caminar y comer a la luz de las velas.
112206_name;Ocvist
112206_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño en todos los enemigos.
112207_fluff;Al menos ahora sabes que no pierdo la cabeza con facilidad.
112207_name;Olgierd von Everec
112207_tooltip;<keyword=order>Orden</keyword>: se <keyword=heal>cura</keyword>. \n<keyword=cooldown>Enfriamiento</keyword>: {Cooldown}.
112208_fluff;Cuando el tiempo y el espacio colapsan ante nosotros, ellos se expanden detrás. De esa forma, uno avanza a través de ambos.
112208_name;Operador
112208_tooltip;<keyword=deploy>Despliegue</keyword>: <keyword=spawn>genera</keyword> e <keyword=summon>invoca</keyword> una copia base de una unidad de bronce de tu mano en esta fila en el lado de cada jugador.
112209_fluff;Muuuuuu.
112209_name;Vaca campeona
112209_tooltip;<keyword=order>Orden</keyword>: transforma en Chort.
112210_fluff;Geralt, tenemos que tener una charla de hombre a caballo. No te ofendas, pero... ¿tus habilidades ecuestres? Dejan un poco que desear, hermano.
112210_name;Sardinilla
112210_tooltip;Cada vez que juegas una carta dorada, <keyword=summon>invoca</keyword> a esta unidad de tu mazo a una fila aliada al azar.
112211_fluff;La vida sin escuchar el sonido de palabras como «subrepticia serendipia» es como lamer caracoles a través de un trapo.
112211_name;Johnny
112211_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño a una unidad. \n<keyword=charge>Carga</keyword>: {Charges}.\nGana {Charges2} <keyword=charge>carga</keyword> cada vez que juegas una carta especial.
112212_fluff;¡La pequeña Sarah quiere jugar!
112212_name;Sarah
112212_tooltip;<keyword=order>Orden</keyword>: otorga {Boost} de potencia a una unidad. \n<keyword=charge>Carga</keyword>: {Charges}. \n Gana {Charges2} <keyword=charge>carga</keyword> cada vez que juegas una carta especial.
112213_fluff;Quizá descubra que me veo genial sin orejas… o manos. Según parece, el Rey de los Mendigos acepta ambas como parte de pago.
112213_name;Rey de los Mendigos
112213_tooltip;Cada turno, al final del mismo, otorga {Boost} de potencia a la unidad con menor poder en tu mano.
112214_fluff;Uno de los cuatro jefes que controla el bajomundo de la ciudad. Los otros son Sigi Reuven, Carlo «Sacabuche» Varese y el Rey de los Mendigos.
112214_name;Cyprian Wily
112214_tooltip;<keyword=deploy>Despliegue</keyword>: <keyword=banish>destierra</keyword> a una unidad con {Power} de poder o menos.
112215_fluff;Me acuerdo de tan poco… Sin embargo, cuando pienso en mi rosa, los recuerdos vienen a mí.
112215_name;Iris von Everec
112215_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: destruye un artefacto enemigo. \n<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: despeja todos los efectos de fila de tu lado.
112401_fluff;Dicen que a los unicornios les gustan las vírgenes. Sin embargo, dado que en esta época encontrar una virgen es tan difícil como encontrar un unicornio, nadie ha podido verificar la teoría.
112401_name;Unicornio
112401_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Boost} de potencia a una unidad. Si tienes a Chironex en la mano, duplica esa cantidad.
112402_fluff;¡Dioses, eso no es un unicornio! ¡Eso es…! —últimas palabras de Vilemar, famoso coleccionista de curiosidades.
112402_name;Chironex
112402_tooltip;<keyword=deploy>Despliegue</keyword>: inflige {Damage} de daño a una unidad. Si tienes a Unicornio en la mano, duplica esa cantidad.
112403_fluff;Conoce cien palabras; ochenta son insultos, y el resto conectores.
112403_name;Duda: Compañero
112403_tooltip;Potencia {Boost} a todas las unidades de una fila.
112404_fluff;El loro de Zoltan tenía la habilidad extraordinaria de irritar a todos los que pasaban tiempo con él. Incluido Zoltan.
112404_name;Duda: Agitador
112404_tooltip;Inflige {Damage} de daño a todas las unidades en una fila.
112405_fluff;Un demonio se asemeja a un ciervo. A un ciervo enorme y maligno.
112405_name;Demonio
112405_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Boost} de potencia a todas las unidades con <keyword=deathwish>Agonía</keyword> en tu mano.
113101_fluff;En la Era Final, Hemdall avanzará para plantarle cara al mal proveniente de la tierra de Morhogg: las legiones de apariciones, demonios y espectros del Caos.
113101_name;Ragh Nar Roog
113101_tooltip;Aplica este efecto de fila a una fila enemiga:\nCada turno, al inicio del turno, inflige {Damage} de daño a la unidad de mayor poder de esta fila.
113102_fluff;Un djinn, buenos señores, cumple tres deseos y no más. Luego quedará libre y volará hacia una dimensión desconocida.
113102_name;El último deseo
113102_tooltip;Mira las {Maxtargets} primeras cartas de tu mazo, luego juega una y <keyword=banish>destierra</keyword> a la otra.
113201_fluff;Si se te acaban los campesinos, los señuelos también sirven como blanco.
113201_name;Señuelo
113201_tooltip;Mezcla a un aliado del campo de batalla en tu mazo. Luego juega la primera unidad de tu mazo.
113202_fluff;De repente, el cielo se oscureció, y nubes cargadas se arremolinaron sobre la ciudad. Todo tomó un matiz endemoniadamente negro, y una ráfaga helada se hizo presente. "Vaya...", resopló Yennefer. "Creo que vamos a hacer un desastre".
113202_name;Merigold: Granizada
113202_tooltip;Inflige {Damage} de daño a {Maxtargets} enemigos.
113203_fluff;Esto no es una tormenta común y corriente. Es la ira de los dioses.
113203_name;Tormenta de Skellige
113203_tooltip;Aplica este efecto de fila a una fila enemiga:\nDurante {Counter} turnos, al inicio del turno, inflige {Damage} de daño a todas las unidades de esta fila.
113204_fluff;El hechicero Stammelford movió una montaña que le hacía sombra a su torre. Se dice que solo lo logró luego de encadenar a un d'ao; a un elemental de tierra.
113204_name;Stammelford: Temblor
113204_tooltip;Inflige {Damage} de daño a todos los enemigos.
113205_fluff;Parte importante del arsenal de todo cazador de bruja. En un estallido silencioso, convierte a la hechicera más poderosa en un trozo de tocino fresco, listo para cortar.
113205_name;Bomba de dimerita
113205_tooltip;Destruye un artefacto.
113206_fluff;Contemplen la Tedd Deireadh, la Era Final. El mundo destruido por el Frío Blanco.
113206_name;Frío Blanco
113206_tooltip;Destruye todos los artefactos.
113207_fluff;Más uno a la moral, menos uno a los oídos.
113207_name;Cuerno de comandante
113207_tooltip;Potencia por {Boost} a {maxtargets} unidades adyacentes.
113208_fluff;El druida vaedermakar controla los elementos. Calma a las tormentas y las convierte en silencio; congrega pedrizos destructivos; invoca rayos que convierten a sus enemigos en ceniza. ¿Quieres un consejo? Trátalo con sumo respeto.
113208_name;Vaedermakar
113208_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>cuerpo a cuerpo</keyword>: aumenta en {Counter} la duración de todos los efectos de fila.\n<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: reduce en {Counter2} la duración de todos los efectos de fila.
113209_fluff;Algunas de las creaciones monstruosas de Alzur aún merodean por el mundo. Entre ellas, el horrible viy, que masacró a su arcanista creador y destruyó la mitad de Maribor antes de huir a los bosques sombríos de Riverdell.
113209_name;Doble cruz de Alzur
113209_tooltip;Juega la unidad con mayor poder de tu mazo.
113301_fluff;No tenemos ni la más remota posibilidad de conjurar un hechizo tan complejo como el Trueno de Alzur. Se dice que el célebre mago tenía la dicción de un maestro orador y que su voz sonaba como un cuerno de caza.
113301_name;Trueno de Alzur
113301_tooltip;Inflige {Damage} de daño a una unidad.
113302_fluff;¿Qué es lo mejor de la escarcha? Que los cadáveres tardan más en pudrirse.
113302_name;Escarcha Polar
113302_tooltip;Aplica este efecto de fila a una fila enemiga:\nDurante {Counter} turnos, al inicio del turno, inflige {Damage} de daño a la unidad con menor poder de esta fila.
113303_fluff;¡Brilla el sol, Dromle! ¡Brilla el sol! Quizá, después de todo, haya esperanza...
113303_name;Tiempo despejado
113303_tooltip;Despeja todos los efectos de fila de tu lado.
113305_fluff;El sueño de un buen comandante... y la pesadilla de uno malo.
113305_name;Niebla Impenetrable
113305_tooltip;Aplica este efecto de fila a una fila enemiga:\nDurante {Counter} turnos, al inicio del turno, inflige {Damage} de daño a la unidad con mayor poder de esta fila.
113306_fluff;La mantícora mata más rápido de lo que se tarda en recitar el título completo del Emperador de Nilfgaard.
113306_name;Veneno de mantícora
113306_tooltip;Inflige {Damage} de daño a {MaxTargets} enemigos.
113307_fluff;La bestia se lanzó hacia ellos, salvaje, con los ojos inyectados de furia, inmune al dolor y a los golpes que los defensores pudieran lanzarle. Nadie quedó en pie para detenerla...
113307_name;Subida de adrenalina
113307_tooltip;Da o quita <keyword=resilient>Resiliencia</keyword> de una unidad.
113308_fluff;Las epidemias no respetan ni a las personas ni las fronteras.
113308_name;Epidemia
113308_tooltip;Destruye a la(s) unidad(es) con menor poder.
113309_fluff;Geralt dio un paso hacia atrás. Ya había visto a hombres azotados por Conflagración. O, para decirlo con más precisión, había visto lo que quedaba de ellos.
113309_name;Conflagración
113309_tooltip;Destruye a la(s) unidad(es) con mayor poder.
113310_fluff;La golondrina, que simboliza la primavera y el rejuvenecimiento, le da nombre a esta poción que acelera la velocidad a la que las heridas se cierran y se curan.
113310_name;Golondrina
113310_tooltip;Otorga {Boost} de potencia a una unidad.
113311_fluff;El rostro del brujo cambió... Su semblante se volvió inhumano, horrendo.
113311_name;Rayo
113311_tooltip;<keyword=zeal>Fervor</keyword>.\n<keyword=order>Orden</keyword>: otorga {Boost} de potencia a una unidad. \n<keyword=charge>Cargas</keyword>: {Charges}.
113312_fluff;En esta tierra, hasta la lluvia huele horrible.
113312_name;Lluvia Torrencial
113312_tooltip;Aplica este efecto de fila a una fila enemiga:\nDurante {Counter} turnos, al inicio del turno, inflige {Damage} de daño a {MaxTargets} unidades al azar de la fila.
113313_fluff;Todo hombre, mujer y niño de Skellige puede destrozar a un enemigo con un hacha. Solo unos cuantos pueden destrozarle los oídos con sus gritos furiosos.
113313_name;Heraldo An Craite
113313_tooltip;<keyword=deploy>Despliegue</keyword>: potencia a esta unidad según la cantidad de daño recibida por un enemigo.
113315_fluff;Mira fijamente al abismo durante un tiempo y el abismo te devolverá la mirada.
113315_name;Espejo de Bekker
113315_tooltip;Elige a una unidad. Si está potenciada, inflige el doble de la cantidad potenciada como daño. Si es dañada, se potencia con el doble de la cantidad dañada.
113316_fluff;Medicus curat, magicae sanat.
113316_name;Renovar
113316_tooltip;Juega una unidad de tu cementerio.
113319_fluff;El mago tenía los brazos retorcidos y enroscados detrás de la espalda. Los redanianos sacudieron un poco las cadenas. Terranova gritó, se inclinó hacia adelante, se tiró hacia atrás, tuvo varias arcadas y lanzó un gemido atroz. Era evidente de qué estaban hechas las esposas.
113319_name;Esposas de dimerita
113319_tooltip;<keyword=lock>Bloquea</keyword> a una unidad y le inflige {Damage} de daño.
113320_fluff;Si comes suficientes, el mundo nunca volverá a ser el mismo...
113320_name;Mardroeme
113320_tooltip;Inflige {Damage} de daño a una unidad, luego otorga {Boost} de potencia.
122101_fluff;Sé que no fui un buen padre, pero... quizá no sea demasiado tarde.
122101_name;Barón Sanguinario
122101_tooltip;<keyword=order>Orden</keyword>: duplica las <keyword=charge>cargas</keyword> de un aliado.
122102_fluff;Un patriota... y un verdadero dolor de cabeza.
122102_name;Vernon Roche
122102_tooltip;<keyword=spying>Espía</keyword>.\n<keyword=deploy>Despliegue</keyword>: juega las {MaxTargets} cartas superiores de tu mazo.
122103_fluff;Esa plaza debería llevar el nombre de mis soldados, el de los muertos. No el mío.
122103_name;John Natalis
122103_tooltip;<keyword=melee>Melé</keyword>: si esta unidad está en el campo de batalla, todos los aliados con <keyword=order>Orden</keyword> ganan <keyword=zeal>Fervor</keyword>.
122104_fluff;Pronto el poder de los reyes menguará, y la Logia ocupará el lugar que le pertenece.
122104_name;Philippa Eilhart
122104_tooltip;postponed
122105_fluff;¿Realmente crees que me puedes engañar con ese cuento que acabas de sacarte del culo?
122105_name;Sigismund Dijkstra
122105_tooltip;postponed
122106_fluff;Soy médica. Suelo saber lo que hago cuando receto algo.
122106_name;Shani
122106_tooltip;<keyword=order>Orden</keyword>: otorga <keyword=immune>inmune</keyword> a una unidad.
122107_fluff;Capitán… nuestras flechas tienen… ¡tienen alas!
122107_name;Triss: Mariposas
122107_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Boost} de potencia a una unidad aleatoria en tu mano.
122108_fluff;Si tengo que morir hoy, quiero verme espectacular para la ocasión.
122108_name;Keira Metz
122108_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: juega un hechizo de tu mazo.
122201_fluff;Jaskier, eres cínico, vicioso, libertino, embustero... y mi mejor amigo.
122201_name;Jaskier
122201_tooltip;<keyword=ranged>A distancia</keyword>: cada vez que un aliado gane una <keyword=charge>carga</keyword>, otorga {Boost} de potencia.
122202_fluff;Imagínate a Jaskier con un vestido y te puedes hacer una idea.
122202_name;Priscilla
122202_tooltip;<keyword=zeal>Fervor</keyword>.\n<keyword=order>Orden</keyword>: otorga {Charges} <keyword=charge>carga</keyword>. \n<keyword=cooldown>Enfriamiento</keyword>: {Cooldown}.
122203_fluff;¡Vete al carajo! No todos somos meros libertinos. Algunos tenemos sentimientos.
122203_name;Thaler
122203_tooltip;<keyword=deploy>Despliegue</keyword>: elimina todas las <keyword=charge>cargas</keyword> de una unidad enemiga y se las da a Thaler. \n<keyword=order>Orden</keyword>: otorga {Charges2} <keyword=charge>carga</keyword>a una unidad aliada. \n<keyword=charge>Carga</keyword>: {Charges}.
122204_fluff;Mejor vivir un solo día como un rey, que toda la vida como un mendigo.
122204_name;Ves
122204_tooltip;<keyword=deploy>Despliegue</keyword>: inflige {Damage} de daño a un enemigo. \n<keyword=order>Orden</keyword>: le otorga <keyword=zeal>Fervor</keyword> a un aliado.
122205_fluff;La Logia carece de humildad. Nuestra sed de poder podría ser nuestro fin.
122205_name;Sheala
122205_tooltip;<keyword=deploy>Despliegue</keyword>: inflige {Damage} de daño a un enemigo.\n<keyword=order>Orden</keyword>: inflige {Damage} de daño a un enemigo.
122206_fluff;La hija de los bosques kaedweni.
122206_name;Sabrina Glevissig
122206_tooltip;<keyword=spying>Espía</keyword>.\n<keyword=deathwish>Agonía</keyword>: inflige {Damage} de daño a todas las unidades en esta fila.
122207_fluff;Una vez logré que un prisionero vomitara sus entrañas. Ah, qué tiempos...
122207_name;Dethmold
122207_tooltip;<keyword=order>Orden</keyword>, <keyword=ranged>a distancia</keyword>: inflige daño a un enemigo según la potenciación de Dethmold.
122208_fluff;Usa armaduras hechas de oro. Por supuesto que es un idiota.
122208_name;Príncipe Stennis
122208_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Boost} de potencia a un aliado y le otorga {Charges} <keyword=charge>cargas</keyword>.
122209_fluff;Ven conmigo, ejército de Rey Ravodid. Mi orden, proteger barcas.
122209_name;Trololó
122209_tooltip;postponed
122210_fluff;Decían que la reina era propensa los exabruptos, pero no me esperaba algo así...
122210_name;Princesa Pavetta
122210_tooltip;<keyword=deploy>Despliegue</keyword>: devuelve una unidad de bronce y todas sus copias desde tu cementerio a tu mazo.
122211_fluff;Solo me interesa el bien de Aretuza y de mis pupilas.
122211_name;Margarita Laux-Antille
122211_tooltip;<keyword=zeal>Fervor</keyword>.\n<keyword=order>Orden</keyword>: gasta {Charges} <keyword=charge>cargas</keyword> para <keyword=lock>bloquear</keyword> una unidad enemiga.\n<keyword=charge>Cargas</keyword>: {Charges}.
122212_fluff;Pocos saben más de las artes curativas que Nenneke.
122212_name;Nenneke
122212_tooltip;<keyword=order>Orden</keyword>, <keyword=ranged>a distancia</keyword>: otorga {Boost} de potencia a una unidad.\n<keyword=charge>Carga</keyword>: {Charges}.
122213_fluff;Beber sin Odrin es como remar sin un remo.
122213_name;Odrin
122213_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Charge} <keyword=charge>carga</keyword> a todas las unidades aliadas.
122214_fluff;¡Avancen, malditas ratas! ¡Avancen o verán que los nilfgaardianos serán el último de sus problemas!
122214_name;Sargento kaedweni
122214_tooltip;<keyword=zeal>Fervor</keyword>.\n<keyword=order>Orden</keyword>: otorga {Boost} de potencia a un aliado.\n<keyword=charge>Carga</keyword>: {Charges}.
122216_fluff;Todos los que quieran comerciar en Novigrado tienen que optar entre dos opciones: ajustarse a las condiciones de Sacabuche o decirles adiós a las rodillas.
122216_name;Sacabuche
122216_tooltip;<keyword=deploy>Despliegue</keyword>: inflige {Damage} de daño a una unidad por cada carta en tu mano.
122301_fluff;Lo que las ballestas quieren ser cuando sean grandes.
122301_name;Balista
122301_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño a una unidad. \n<keyword=charge>Cargas</keyword>: {Charges}.
122302_fluff;Nunca impacta en el mismo lugar dos veces seguidas, algo que, si uno se pone a reflexionar, podría considerarse como un problema real.
122302_name;Balista reforzada
122302_tooltip;<keyword=order>Orden</keyword>: inflige {Damage} de daño a una unidad. \n<keyword=charge>Cargas</keyword>: {Charges}.
122303_fluff;El castillo no se derribará solo, ¿verdad? ¡Que avancen los trabuquetes!
122303_name;Trabuquete
122303_tooltip;<keyword=order>Orden</keyword>, <keyword=ranged>a distancia</keyword>: inflige {Damage} de daño a una unidad. Si fue destruida, inflige {Damage} de daño a las unidades adyacentes.\n<keyword=charge>Carga</keyword>: {Charges}.
122304_fluff;La última moda en asedios a ciudades amuralladas.
122304_name;Torre de asedio
122304_tooltip;<keyword=order>Orden</keyword>, <keyword=melee>melé</keyword>: otorga {Boost} de potencia a los aliados adyacentes. \n<keyword=charge>Carga</keyword>: {Charges}.
122306_fluff;¿Ve este tatuaje de aquí? Soy yo, hacheando a un dragón. A UN DRAGÓN, señora.
122306_name;Saqueadores: Cazador
122306_tooltip;postponed
122307_fluff;No tuvimos mucha suerte con los monstruos últimamente, así que nos enlistamos.
122307_name;Saqueadores: Batidor
122307_tooltip;postponed
122308_fluff;¡Por la gloria! ¡Por Radovid!
122308_name;Caballero redaniano
122308_tooltip;postponed
122309_fluff;«Tienes que recalibrar el arma cinco grados». «¿Que haga qué con qué?».
122309_name;Auxiliar de asedios
122309_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Charges} <keyword=charge>cargas</keyword> a una máquina aliada.
122310_fluff;Los Franjas Azules y los Scoia'tael tienen una característica en común: los impulsa el odio.
122310_name;Franja Azul: Explorador
122310_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: <keyword=spawn>genera</keyword> una copia de un aliado de bronce a la parte inferior del mazo.
122311_fluff;Haría lo que fuera por Temeria. Aunque, más que nada, matar por ella.
122311_name;Franja Azul: Comando
122311_tooltip;<keyword=order>Orden</keyword>: <keyword=summon>invoca</keyword> una copia de esta unidad desde tu mazo a esta fila.
122312_fluff;Si atas el rojo con el rojo y el blanco con el blanco, no debería haber problemas.
122312_name;Médica de campaña
122312_tooltip;<keyword=deploy>Despliegue</keyword>: otorga {Boost} de potencia a las unidades adyacentes.
122313_fluff;Tranquilícense todos. Y abran bien los ojos. Los dueños de esas capas y de esos gorros de piel de castor pueden estar en otro lado.
122313_name;Estandarte de Dun
122313_tooltip;<keyword=deploy>Despliegue</keyword>: obtiene <keyword=zeal>fervor</keyword> si se juega adyacente a {MaxTargets} soldados.\n<keyword=order>Orden</keyword>: inflige {Damage} de daño a un enemigo.
122314_fluff;Siempre me pregunté cómo demonios hacen esos muchachos para lidiar con el llamado de la naturaleza...
122314_name;Caballería kaedweni
122314_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=melee>melé</keyword>: elimina todas las <keyword=charge>cargas</keyword> de un enemigo y le inflige daño según la cantidad eliminada.
122315_fluff;¿Sientes eso? La tierra tiembla cuando la Gran Berta lanza una piedra.
122315_name;Trabuquete reforzado
122315_tooltip;<keyword=ranged>A distancia</keyword>: al final de cada turno, inflige {Damage} de daño a un enemigo al azar en la fila a distancia.
122316_fluff;¡Temeria! ¡Temeria! ¡Que los dioses te bendigan con su gracia! ¡Y azoten a tus enemigos con calamidades pavorosas durante toda la eternidad!
122316_name;Infantería temeria
122316_tooltip;<keyword=deploy>Despliegue</keyword> por cada unidad potenciada en esta fila, inflige {Damage} de daño a un enemigo.
122317_fluff;Moriré por Redania, mataré por Redania... ¡Hasta comeré gusanos por Redania!
122317_name;Soldado redaniano
122317_tooltip;postponed
122318_fluff;Nunca fallo dos veces.
122318_name;Maestro de asedios
122318_tooltip;Cada vez que se coloca una máquina en esta fila, le da <keyword=zeal>Fervor</keyword>.
122401_fluff;Admite tus errores y entiérralos como corresponde, si no quieres que te persigan durante toda tu vida.
122401_name;Malogrado
122401_tooltip;Al inicio de cada turno, inflige {Damage} de daño al enemigo con mayor poder.\n<keyword=order>Orden</keyword>; se transforma en una Doméstica.
122402_fluff;Yo te llamo Dea y te acepto como hija.
122402_name;Doméstica
122402_tooltip;Al final de cada turno, otorga {Boost} de potencia al aliado con menor poder. \n<keyword=order>Orden</keyword>; se transforma en un Malogrado.
122403_fluff;En Nilfgaard, los magos son desechables. Si uno decepciona al Emperador, habrá una docena preparados para proporcionarle lo que quiere.
122403_name;Novicio de Vicovaro
122403_tooltip;<keyword=deploy>Despliegue</keyword>, <keyword=ranged>a distancia</keyword>: roba una carta, luego coloca una carta de tu mano en la parte superior del mazo.
123201_fluff;¡Que suene la retirada! ¡Reagrúpense! ¡Y esperen los refuerzos!
123201_name;Refuerzos
123201_tooltip;<keyword=spawn>Genera</keyword> una copia de una unidad aliada de bronce y la <keyword=summon>invoca</keyword> en esta fila.
123301_fluff;Ni fama ni fortuna en héroe te convertirán; ¡mas las buenas intenciones de seguro lo harán!
123301_name;Temeria: Aspirante
123301_tooltip;<keyword=spawn>Genera</keyword>
131101_fluff;Ten algo de dignidad. Sabes cómo terminará esto.
